Month,SKU,Facility,Excess_Inventory,Marginal,Lower,Upper,Scale
40,SKUE2,Austin,60388.0,0.0,0.0,inf,1.0
30,SKUE2,Austin,60270.0,0.0,0.0,inf,1.0
78,SKUT2,Austin,60232.833333333336,0.0,0.0,inf,1.0
103,SKUT3,Austin,60062.83333333333,0.0,0.0,inf,1.0
34,SKUE2,Austin,59995.0,0.0,0.0,inf,1.0
48,SKUE2,Austin,59869.0,0.0,0.0,inf,1.0
29,SKUE2,Austin,59752.0,0.0,0.0,inf,1.0
18,SKUE2,Austin,59378.0,0.0,0.0,inf,1.0
116,SKUT2,Austin,59218.833333333336,0.0,0.0,inf,1.0
49,SKUE2,Austin,58753.0,0.0,0.0,inf,1.0
28,SKUE2,Austin,58424.0,0.0,0.0,inf,1.0
39,SKUE2,Austin,57383.0,0.0,0.0,inf,1.0
9,SKUE2,Austin,57133.0,0.0,0.0,inf,1.0
38,SKUE2,Austin,57007.0,0.0,0.0,inf,1.0
101,SKUT2,Austin,56539.833333333336,0.0,0.0,inf,1.0
17,SKUE2,Austin,55744.0,0.0,0.0,inf,1.0
7,SKUE2,Austin,55332.0,0.0,0.0,inf,1.0
36,SKUE2,Austin,55261.0,0.0,0.0,inf,1.0
22,SKUE2,Austin,54645.0,0.0,0.0,inf,1.0
119,SKUT2,Austin,54289.833333333336,0.0,0.0,inf,1.0
68,SKUT2,Austin,53546.833333333336,0.0,0.0,inf,1.0
27,SKUE2,Austin,53522.0,0.0,0.0,inf,1.0
35,SKUE2,Austin,53285.0,0.0,0.0,inf,1.0
117,SKUT2,Austin,53273.833333333336,0.0,0.0,inf,1.0
37,SKUE2,Austin,52684.0,0.0,0.0,inf,1.0
67,SKUT2,Austin,52546.833333333336,0.0,0.0,inf,1.0
116,SKUT3,Austin,52328.83333333333,0.0,0.0,inf,1.0
116,SKUD1,Columbus,52219.23809523809,0.0,0.0,inf,1.0
115,SKUE1,Austin,52007.47619047618,0.0,0.0,inf,1.0
16,SKUE2,Austin,50136.0,0.0,0.0,inf,1.0
91,SKUT3,Austin,50053.83333333333,0.0,0.0,inf,1.0
26,SKUE2,Austin,50020.0,0.0,0.0,inf,1.0
6,SKUE2,Austin,49935.0,0.0,0.0,inf,1.0
23,SKUE2,Austin,49543.0,0.0,0.0,inf,1.0
24,SKUE2,Austin,49486.0,0.0,0.0,inf,1.0
103,SKUC2,Columbus,49384.0,0.0,0.0,inf,1.0
94,SKUT2,Austin,49136.833333333336,0.0,0.0,inf,1.0
80,SKUT2,Austin,49012.833333333336,0.0,0.0,inf,1.0
55,SKUT2,Austin,48810.833333333336,0.0,0.0,inf,1.0
25,SKUE2,Austin,48715.0,0.0,0.0,inf,1.0
44,SKUT2,Austin,47923.833333333336,0.0,0.0,inf,1.0
5,SKUE2,Austin,47515.0,0.0,0.0,inf,1.0
15,SKUE2,Austin,47506.0,0.0,0.0,inf,1.0
114,SKUT3,Austin,45941.83333333333,0.0,0.0,inf,1.0
102,SKUT2,Austin,44783.833333333336,0.0,0.0,inf,1.0
10,SKUE2,Austin,44737.0,0.0,0.0,inf,1.0
14,SKUE2,Austin,43678.0,0.0,0.0,inf,1.0
13,SKUE2,Austin,43609.0,0.0,0.0,inf,1.0
93,SKUT2,Austin,43525.833333333336,0.0,0.0,inf,1.0
12,SKUE2,Austin,42842.0,0.0,0.0,inf,1.0
114,SKUT2,Austin,42647.833333333336,0.0,0.0,inf,1.0
4,SKUE2,Austin,42225.0,0.0,0.0,inf,1.0
11,SKUE2,Austin,42124.0,0.0,0.0,inf,1.0
3,SKUE2,Austin,42001.0,0.0,0.0,inf,1.0
106,SKUT2,Austin,41943.833333333336,0.0,0.0,inf,1.0
120,SKUT2,Austin,41552.833333333336,0.0,0.0,inf,1.0
102,SKUT3,Austin,40720.83333333333,0.0,0.0,inf,1.0
78,SKUT3,Austin,40508.83333333333,0.0,0.0,inf,1.0
2,SKUE2,Austin,40275.0,0.0,0.0,inf,1.0
100,SKUT2,Austin,39926.833333333336,0.0,0.0,inf,1.0
113,SKUD1,Sacramento,39858.38095238096,0.0,0.0,inf,1.0
81,SKUT2,Austin,39762.833333333336,0.0,0.0,inf,1.0
91,SKUD3,Columbus,39437.26190476188,0.0,0.0,inf,1.0
