Month,Day,Facility,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
110,17,Sacramento,Racking,3557216,59931.23809523809,1.6847792795050425
110,17,Sacramento,Bins,7776000,105474.88095238096,1.3564156501077798
110,17,Sacramento,Hazmat,712896,23525.666666666668,3.300013840260945
110,17,Austin,Pallet,3583152,219317.11904761905,6.120787481179114
110,17,Austin,Racking,3107328,59931.23809523809,1.9287065316322607
110,17,Austin,Bins,10631520,105474.88095238096,0.992095965133687
110,17,Austin,Hazmat,2015360,23525.666666666668,1.1673183285699165
110,18,SYSTEM_TOTAL,Pallet,14407162,219317.11904761905,1.5222784268519993
110,18,SYSTEM_TOTAL,Racking,10907744,59931.23809523809,0.5494375197587887
110,18,SYSTEM_TOTAL,Bins,251572320,105474.88095238096,0.041926266352506895
110,18,SYSTEM_TOTAL,Hazmat,9646656,23525.666666666668,0.24387380110441037
110,18,Columbus,Pallet,7259560,219317.11904761905,3.0210800523395225
110,18,Columbus,Racking,4243200,59931.23809523809,1.4124066293183941
110,18,Columbus,Bins,233164800,105474.88095238096,0.045236193864760445
110,18,Columbus,Hazmat,6918400,23525.666666666668,0.3400449044094974
110,18,Sacramento,Pallet,3564450,219317.11904761905,6.152902104044636
110,18,Sacramento,Racking,3557216,59931.23809523809,1.6847792795050425
110,18,Sacramento,Bins,7776000,105474.88095238096,1.3564156501077798
110,18,Sacramento,Hazmat,712896,23525.666666666668,3.300013840260945
110,18,Austin,Pallet,3583152,219317.11904761905,6.120787481179114
110,18,Austin,Racking,3107328,59931.23809523809,1.9287065316322607
110,18,Austin,Bins,10631520,105474.88095238096,0.992095965133687
110,18,Austin,Hazmat,2015360,23525.666666666668,1.1673183285699165
110,19,SYSTEM_TOTAL,Pallet,14407162,219317.11904761905,1.5222784268519993
110,19,SYSTEM_TOTAL,Racking,10907744,59931.23809523809,0.5494375197587887
110,19,SYSTEM_TOTAL,Bins,251572320,105474.88095238096,0.041926266352506895
110,19,SYSTEM_TOTAL,Hazmat,9646656,23525.666666666668,0.24387380110441037
110,19,Columbus,Pallet,7259560,219317.11904761905,3.0210800523395225
110,19,Columbus,Racking,4243200,59931.23809523809,1.4124066293183941
110,19,Columbus,Bins,233164800,105474.88095238096,0.045236193864760445
110,19,Columbus,Hazmat,6918400,23525.666666666668,0.3400449044094974
110,19,Sacramento,Pallet,3564450,219317.11904761905,6.152902104044636
110,19,Sacramento,Racking,3557216,59931.23809523809,1.6847792795050425
110,19,Sacramento,Bins,7776000,105474.88095238096,1.3564156501077798
110,19,Sacramento,Hazmat,712896,23525.666666666668,3.300013840260945
110,19,Austin,Pallet,3583152,219317.11904761905,6.120787481179114
110,19,Austin,Racking,3107328,59931.23809523809,1.9287065316322607
110,19,Austin,Bins,10631520,105474.88095238096,0.992095965133687
110,19,Austin,Hazmat,2015360,23525.666666666668,1.1673183285699165
110,20,SYSTEM_TOTAL,Pallet,14407162,219317.11904761905,1.5222784268519993
110,20,SYSTEM_TOTAL,Racking,10907744,59931.23809523809,0.5494375197587887
110,20,SYSTEM_TOTAL,Bins,251572320,105474.88095238096,0.041926266352506895
110,20,SYSTEM_TOTAL,Hazmat,9646656,23525.666666666668,0.24387380110441037
110,20,Columbus,Pallet,7259560,219317.11904761905,3.0210800523395225
110,20,Columbus,Racking,4243200,59931.23809523809,1.4124066293183941
