simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,total_trucks_affected,total_truck_days_delay,avg_delay_duration,avg_skus_per_event,avg_trucks_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,1.0,21.0,28787,47917,949728,19853878.54617413,20.821049275887603,1.6645360753117726,32.991558689686315,18059,10728,,,
2,1.0,21.0,28553,47300,929847,19738278.235582553,21.05720545805367,1.6565684866739048,32.565649844149476,18084,10469,,,
3,1.0,21.0,28462,47182,912758,19140764.783336923,21.126936070044188,1.6577190640151782,32.06935563207083,17856,10606,,,
4,1.0,21.0,28930,47787,940291,19781756.15258823,21.014641923831938,1.6518147251987556,32.50228136882129,18131,10799,,,
5,1.0,21.0,29069,48014,946471,19994795.58973392,20.919098037884133,1.6517252055454263,32.559461969796004,18166,10903,,,
6,1.0,21.0,28930,47844,934872,19718043.22284875,21.116376423826424,1.6537849982716903,32.31496716211545,18110,10820,,,
7,1.0,21.0,28569,47046,920293,19514051.73292758,21.00019384073472,1.6467499737477687,32.212993104413876,17920,10649,,,
8,1.0,21.0,28881,47474,933523,19697756.447862767,20.956441204817146,1.6437796475191302,32.32308438073474,18295,10586,,,
9,1.0,21.0,29006,48034,937566,20034951.127367426,21.236127064588747,1.6560022064400468,32.32317451561746,18247,10759,,,
10,1.0,21.0,28963,48073,942924,19752124.197374318,20.969810184570495,1.6598073403998204,32.55615785657563,18217,10746,,,
11,1.0,21.0,28830,47584,925068,19416041.9059241,20.94741472535044,1.6505029483177245,32.086992715920914,18031,10799,,,
12,1.0,21.0,28543,47418,945565,19769036.278059773,20.978165876624477,1.6612829765616788,33.12773709841292,17979,10564,,,
13,1.0,21.0,28894,47769,947310,19733475.20439483,20.760853313150783,1.653249809649062,32.78569945317367,18175,10719,,,
14,1.0,21.0,28547,47262,932632,19469169.36802543,20.816532939611804,1.655585525624409,32.67005289522542,18034,10513,,,
15,1.0,21.0,29116,48196,934346,19417418.928255428,20.964754304058374,1.6553097953015523,32.09046572331364,18390,10726,,,
16,1.0,21.0,28807,47984,948951,20093619.511273522,21.195069818440327,1.6657062519526504,32.941680841462144,18162,10645,,,
17,1.0,21.0,28860,47857,936886,19800547.29697738,21.142636465608593,1.6582467082467083,32.46313236313236,18165,10695,,,
18,1.0,21.0,28812,47568,947006,19905057.317359157,21.17983596501457,1.650978758850479,32.86845758711648,18135,10677,,,
19,1.0,21.0,28975,48086,956618,20331018.449505523,21.17286688256133,1.6595685936151856,33.01528904227783,18328,10647,,,
20,1.0,21.0,28771,47882,937836,19800128.784538403,20.9433872187598,1.664245246950054,32.596572938027876,18074,10697,,,
