simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,total_trucks_affected,total_truck_days_delay,avg_delay_duration,avg_skus_per_event,avg_trucks_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.3,7.0,8666,14293,278969,1943734.4936837035,6.920474166172791,1.6493191783983383,32.1912070159243,5405,3261,,,
2,0.3,7.0,8489,13951,271035,1872372.8702664126,6.9688898452806125,1.64342089763223,31.927788903286608,5290,3199,,,
3,0.3,7.0,8652,14374,286676,2000762.368475258,6.985000512279907,1.6613499768839575,33.134073046694404,5471,3181,,,
4,0.3,7.0,8519,14087,280341,1983423.6391545292,7.027677590355836,1.65359784012208,32.907735649724145,5372,3147,,,
5,0.3,7.0,8693,14370,284788,1970061.826751873,6.896562298759368,1.6530541815253652,32.76061198665593,5506,3187,,,
6,0.3,7.0,8645,14118,273883,1934311.5298177456,7.02584293322081,1.6330827067669174,31.681087333718914,5416,3229,,,
7,0.3,7.0,8709,14445,278397,1925242.1404821929,6.930828140001673,1.658629004478126,31.96658629004478,5405,3304,,,
8,0.3,7.0,8681,14382,282552,2004256.6791120735,6.992849490671336,1.6567215758553162,32.548323925815,5484,3197,,,
9,0.3,7.0,8626,14244,278837,1955340.0296455554,6.978170193142697,1.6512868073266869,32.32517968931138,5425,3201,,,
10,0.3,7.0,8722,14421,287456,2027278.9254669934,7.164947559580609,1.653405182297638,32.95757853703279,5449,3273,,,
11,0.3,7.0,8629,14344,282347,1925586.778859702,7.0478553986393635,1.662301541314173,32.72070923629621,5502,3127,,,
12,0.3,7.0,8660,14379,283135,2006587.5450597003,7.009851044742268,1.660392609699769,32.6945727482679,5454,3206,,,
13,0.3,7.0,8660,14308,276366,1983592.134692093,7.157375900427773,1.6521939953810623,31.912933025404158,5376,3284,,,
14,0.3,7.0,8414,13893,274687,1959941.8259564254,6.949161524595976,1.6511766104112193,32.64642262895175,5274,3140,,,
15,0.3,7.0,8616,14303,281020,1978916.3188942266,7.047747058386768,1.6600510677808729,32.61606313834726,5408,3208,,,
16,0.3,7.0,8660,14324,285666,2012446.2302646008,7.006385584181435,1.6540415704387992,32.98683602771363,5470,3190,,,
17,0.3,7.0,8589,14184,282683,2002039.1014835332,7.028190434871902,1.6514146000698569,32.912213296076374,5332,3257,,,
18,0.3,7.0,8845,14676,289978,2057028.5251017525,7.00704733130117,1.6592425098925947,32.78439796495195,5554,3291,,,
19,0.3,7.0,8634,14285,273942,1902943.416487107,7.004853881638653,1.6545054435950892,31.728283530229326,5430,3204,,,
20,0.3,7.0,8578,14190,286230,1994041.4874860807,6.996060654730538,1.6542317556539985,33.367917929587314,5488,3090,,,
21,0.3,7.0,8690,14423,280708,1879827.5505198992,6.859652199277937,1.6597238204833142,32.302416570771,5475,3215,,,
22,0.3,7.0,8634,14326,281752,1948840.614869657,6.82291228550281,1.65925411165161,32.63284688441047,5391,3243,,,
23,0.3,7.0,8793,14461,278474,1912958.2763693163,6.95127920481922,1.6446036620038667,31.66996474468327,5542,3251,,,
24,0.3,7.0,8769,14436,277560,1980539.668404551,7.006886396437836,1.6462538487854943,31.65241190557646,5613,3156,,,
25,0.3,7.0,8588,14266,281048,1956962.2260459855,6.904967545247126,1.6611551001397298,32.72566371681416,5450,3138,,,
26,0.3,7.0,8648,14273,280399,1930328.5138264613,7.008309287814433,1.6504394079555966,32.423566142460686,5389,3259,,,
27,0.3,7.0,8473,14139,279346,1996846.5980891134,7.051037786578071,1.6687123805027735,32.96896022660215,5381,3092,,,
28,0.3,7.0,8659,14296,286217,2017759.6059232033,7.014496259829464,1.6509989606190092,33.054278785079106,5474,3185,,,
29,0.3,7.0,8609,14304,284189,1906369.4779813178,6.95145796323836,1.6615170170751539,33.01068649088163,5408,3201,,,
30,0.3,7.0,8712,14439,278600,1960855.809842181,6.971427170320853,1.6573691460055096,31.978879706152433,5469,3243,,,
31,0.3,7.0,8578,14076,268135,1852056.0282954837,7.03197089989518,1.6409419445092097,31.258451853578922,5419,3159,,,
32,0.3,7.0,8714,14617,300143,2058828.003174414,6.985836458183364,1.6774156529722286,34.4437686481524,5570,3144,,,
33,0.3,7.0,8585,14037,272142,1929342.0517544616,7.149386002431896,1.635061153174141,31.699708794408853,5377,3208,,,
34,0.3,7.0,8616,14136,274707,1953769.294070179,7.1632348272635085,1.6406685236768803,31.883356545961004,5471,3145,,,
35,0.3,7.0,8601,14153,276953,1914851.3735218903,6.895405293805721,1.645506336472503,32.20009301244041,5327,3274,,,
