simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,avg_delay_duration,avg_skus_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.05,2.0,1402,2331,1.9996713466153644,1.6626248216833095,892,510,,,
2,0.05,2.0,1472,2426,2.006464955054859,1.6480978260869565,929,543,,,
3,0.05,2.0,1454,2397,1.9239786497577713,1.6485557083906466,911,543,,,
4,0.05,2.0,1520,2501,2.066221928428134,1.6453947368421054,971,549,,,
5,0.05,2.0,1424,2377,2.0366965866055526,1.6692415730337078,919,505,,,
6,0.05,2.0,1515,2513,1.9853005470578724,1.6587458745874588,961,554,,,
7,0.05,2.0,1384,2314,2.0889944357380585,1.6719653179190752,865,519,,,
8,0.05,2.0,1488,2495,1.9133524565236641,1.676747311827957,949,539,,,
9,0.05,2.0,1414,2373,1.9512485917092872,1.6782178217821782,910,504,,,
10,0.05,2.0,1457,2421,2.01496265103691,1.661633493479753,930,527,,,
11,0.05,2.0,1459,2403,1.9674735865091002,1.6470185058259081,908,551,,,
12,0.05,2.0,1426,2331,1.9474598023639367,1.6346423562412342,900,526,,,
13,0.05,2.0,1398,2322,2.0907084841837635,1.6609442060085837,884,514,,,
14,0.05,2.0,1456,2397,2.0530290360199603,1.6462912087912087,925,531,,,
15,0.05,2.0,1466,2429,2.0477433348936045,1.6568894952251023,914,552,,,
16,0.05,2.0,1388,2364,2.009514701730411,1.7031700288184437,910,478,,,
17,0.05,2.0,1474,2440,1.997554808158509,1.655359565807327,945,529,,,
18,0.05,2.0,1460,2440,1.9373314117118685,1.6712328767123288,921,539,,,
19,0.05,2.0,1436,2337,1.936370801691862,1.6274373259052926,922,514,,,
20,0.05,2.0,1472,2418,2.049749678217369,1.642663043478261,922,550,,,
21,0.05,2.0,1464,2443,1.9850875676114577,1.6687158469945356,917,547,,,
22,0.05,2.0,1374,2235,1.9796932043370292,1.6266375545851528,882,492,,,
23,0.05,2.0,1424,2348,2.0175072454708327,1.648876404494382,869,555,,,
24,0.05,2.0,1390,2298,1.9230635273326828,1.6532374100719425,896,494,,,
25,0.05,2.0,1461,2396,2.0020963419240916,1.6399726214921286,923,538,,,
26,0.05,2.0,1447,2406,1.9863448854796848,1.6627505183137525,898,549,,,
27,0.05,2.0,1478,2385,1.9764509877106957,1.6136671177266577,913,565,,,
28,0.05,2.0,1430,2367,2.004988923287442,1.6552447552447553,922,508,,,
29,0.05,2.0,1464,2382,1.9469030680235788,1.6270491803278688,940,524,,,
30,0.05,2.0,1435,2422,1.8903698036292966,1.6878048780487804,918,517,,,
31,0.05,2.0,1495,2486,2.09507172912471,1.662876254180602,911,584,,,
32,0.05,2.0,1462,2390,1.9749256932368788,1.6347469220246238,957,505,,,
33,0.05,2.0,1428,2348,2.003080197713893,1.6442577030812324,884,544,,,
34,0.05,2.0,1380,2294,2.0330008357172025,1.6623188405797102,852,528,,,
35,0.05,2.0,1470,2417,1.9912201052146512,1.64421768707483,921,549,,,
36,0.05,2.0,1415,2353,1.9641459060197786,1.6628975265017667,862,553,,,
37,0.05,2.0,1468,2434,2.0407150704735395,1.6580381471389645,902,566,,,
38,0.05,2.0,1445,2348,2.0217414582673,1.6249134948096886,907,538,,,
39,0.05,2.0,1446,2420,2.0570831408767583,1.673582295988935,884,562,,,
40,0.05,2.0,1394,2360,2.0945099358537016,1.6929698708751793,891,503,,,
41,0.05,2.0,1430,2382,1.8713347856837614,1.6657342657342658,884,546,,,
42,0.05,2.0,1415,2322,2.010291969988095,1.6409893992932862,900,515,,,
43,0.05,2.0,1422,2354,1.9755853253341353,1.6554149085794656,883,539,,,
44,0.05,2.0,1450,2422,1.9379215148587128,1.670344827586207,935,515,,,
45,0.05,2.0,1425,2355,1.981910400989391,1.6526315789473685,899,526,,,
46,0.05,2.0,1426,2401,2.05721038992303,1.6837307152875176,917,509,,,
47,0.05,2.0,1456,2463,1.9980786756060047,1.691620879120879,943,513,,,
48,0.05,2.0,1455,2407,2.09482233100785,1.654295532646048,913,542,,,
49,0.05,2.0,1420,2358,2.101914390909525,1.6605633802816901,910,510,,,
50,0.05,2.0,1405,2325,1.9362398816271025,1.6548042704626333,895,510,,,
