Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
1,3,Austin,Bound to Learn,Domestic,1.7843244715517,2,3.5686489431034,2,"SKUT1,SKUT4",0
1,2,Austin,Bound to Learn,Domestic,17.678883532490836,23,406.61432124728924,2,"SKUT1,SKUT2",1
1,3,Austin,Bound to Learn,Domestic,7.601980983437348,2,15.203961966874695,2,"SKUT1,SKUT4",2
1,4,Austin,Bound to Learn,Domestic,10.091336637693619,35,353.1967823192767,3,"SKUT1,SKUT2,SKUT3",3
1,15,Austin,Bound to Learn,Domestic,22.22110289011462,13,288.87433757149006,2,"SKUT1,SKUT3",4
1,21,Austin,Bound to Learn,Domestic,19.815900473512436,13,257.60670615566164,3,"SKUT1,SKUT3,SKUT4",5
2,9,Austin,Bound to Learn,Domestic,10.9589899934219,23,252.0567698487037,2,"SKUT1,SKUT2",0
2,9,Austin,Bound to Learn,Domestic,9.659020660347005,23,222.15747518798113,2,"SKUT1,SKUT2",1
2,8,Austin,Bound to Learn,Domestic,0.4355432252902906,35,15.24401288516017,3,"SKUT2,SKUT3,SKUT4",2
2,12,Austin,Bound to Learn,Domestic,2.3539352734593337,36,84.74166984453602,3,"SKUT1,SKUT2,SKUT3",3
2,4,Austin,Bound to Learn,Domestic,11.636745304128393,1,11.636745304128393,1,SKUT1,4
2,12,Austin,Bound to Learn,Domestic,57.161261875626465,36,2057.8054275225527,3,"SKUT1,SKUT2,SKUT3",5
2,6,Austin,Bound to Learn,Domestic,0.45605005484072997,22,10.03310120649606,1,SKUT2,6
2,12,Austin,Bound to Learn,Domestic,11.627077729459753,36,418.5747982605511,3,"SKUT1,SKUT2,SKUT3",7
2,21,Austin,Bound to Learn,Domestic,1.3603890336426503,1,1.3603890336426503,1,SKUT1,8
2,18,Austin,Bound to Learn,Domestic,24.082152206291255,22,529.8073485384076,1,SKUT2,9
3,3,Austin,Bound to Learn,Domestic,0.5559487691056647,1,0.5559487691056647,1,SKUT4,0
3,16,Austin,Bound to Learn,Domestic,0.19432945337003701,2,0.38865890674007403,2,"SKUT1,SKUT4",1
3,13,Austin,Bound to Learn,Domestic,10.438342142057047,16,167.01347427291276,1,SKUT3,2
3,3,Austin,Bound to Learn,Domestic,6.985884629822162,1,6.985884629822162,1,SKUT4,3
3,3,Austin,Bound to Learn,Domestic,19.445265320553712,1,19.445265320553712,1,SKUT4,4
3,7,Austin,Bound to Learn,Domestic,11.384769223304925,17,193.54107679618372,2,"SKUT1,SKUT3",5
3,3,Austin,Bound to Learn,Domestic,7.3921532766146925,1,7.3921532766146925,1,SKUT4,6
3,16,Austin,Bound to Learn,Domestic,24.935424956556908,2,49.870849913113815,2,"SKUT1,SKUT4",7
