Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
6,18,Austin,Bound to Learn,Domestic,0.6865822000342906,20,13.731644000685812,2,"SKUT3,SKUT4",5
6,5,Austin,Bound to Learn,Domestic,16.117408474553603,1,16.117408474553603,1,SKUT1,6
6,15,Austin,Bound to Learn,Domestic,29.381655702351672,22,646.3964254517368,2,"SKUT1,SKUT2",7
6,19,Austin,Bound to Learn,Domestic,3.2768967064641403,22,72.09172754221109,2,"SKUT2,SKUT4",8
6,18,Austin,Bound to Learn,Domestic,44.53679217205678,20,890.7358434411356,2,"SKUT3,SKUT4",9
6,4,Austin,Bound to Learn,Domestic,2.492833175675708,20,49.85666351351416,2,"SKUT1,SKUT3",10
6,9,Austin,Bound to Learn,Domestic,10.485633420834306,22,230.68393525835472,2,"SKUT2,SKUT4",11
7,8,Austin,Bound to Learn,Domestic,5.375001947849384,2,10.750003895698768,2,"SKUT1,SKUT4",0
7,16,Austin,Bound to Learn,Domestic,13.604771243999354,53,721.0528759319658,2,"SKUT2,SKUT3",1
7,6,Austin,Bound to Learn,Domestic,3.9730259226274574,21,83.43354437517661,1,SKUT3,2
7,19,Austin,Bound to Learn,Domestic,4.769439323778533,2,9.538878647557066,1,SKUT1,3
8,12,Austin,Bound to Learn,Domestic,9.8351419457557,22,216.3731228066254,1,SKUT3,0
8,9,Austin,Bound to Learn,Domestic,1.0231972445769726,3,3.0695917337309178,2,"SKUT1,SKUT4",1
8,7,Austin,Bound to Learn,Domestic,0.2504457224713949,29,7.262925951670452,1,SKUT2,2
8,4,Austin,Bound to Learn,Domestic,43.6890965965965,22,961.1601251251229,1,SKUT3,3
8,3,Austin,Bound to Learn,Domestic,13.825996130005432,29,400.9538877701575,1,SKUT2,4
8,11,Austin,Bound to Learn,Domestic,9.126159806125871,2,18.252319612251743,1,SKUT1,5
8,7,Austin,Bound to Learn,Domestic,24.563272976558558,29,712.3349163201982,1,SKUT2,6
9,20,Austin,Bound to Learn,Domestic,26.150103915233263,21,549.1521822198986,3,"SKUT1,SKUT3,SKUT4",0
9,8,Austin,Bound to Learn,Domestic,7.68301846482481,19,145.9773508316714,1,SKUT3,1
9,2,Austin,Bound to Learn,Domestic,2.8700311985048623,46,132.02143513122365,4,"SKUT1,SKUT2,SKUT3,SKUT4",2
9,15,Austin,Bound to Learn,Domestic,14.749527761922943,1,14.749527761922943,1,SKUT4,3
9,8,Austin,Bound to Learn,Domestic,7.235443138749491,19,137.47341963624032,1,SKUT3,4
9,10,Austin,Bound to Learn,Domestic,8.922725470379065,25,223.06813675947663,1,SKUT2,5
9,13,Austin,Bound to Learn,Domestic,34.52347205098278,44,1519.0327702432423,2,"SKUT2,SKUT3",6
9,15,Austin,Bound to Learn,Domestic,1.310187964706385,1,1.310187964706385,1,SKUT4,7
9,11,Austin,Bound to Learn,Domestic,3.205401383353893,2,6.410802766707786,2,"SKUT1,SKUT4",8
9,15,Austin,Bound to Learn,Domestic,8.945918093413638,1,8.945918093413638,1,SKUT4,9
9,11,Austin,Bound to Learn,Domestic,7.430323491314085,2,14.86064698262817,2,"SKUT1,SKUT4",10
9,10,Austin,Bound to Learn,Domestic,5.675135418446147,25,141.87838546115367,1,SKUT2,11
10,15,Austin,Bound to Learn,Domestic,1.0294432612725763,17,17.500535441633797,2,"SKUT1,SKUT3",0
10,16,Austin,Bound to Learn,Domestic,6.85281465531072,1,6.85281465531072,1,SKUT1,1
10,11,Austin,Bound to Learn,Domestic,48.082465034323455,1,48.082465034323455,1,SKUT1,2
10,2,Austin,Bound to Learn,Domestic,11.247821541963534,13,146.22168004552594,1,SKUT3,3
10,9,Austin,Bound to Learn,Domestic,13.781249534326573,36,496.12498323575664,2,"SKUT2,SKUT3",4
10,10,Austin,Bound to Learn,Domestic,12.082706213397412,17,205.406005627756,2,"SKUT1,SKUT3",5
10,5,Austin,Bound to Learn,Domestic,11.502892878747026,2,23.005785757494053,2,"SKUT1,SKUT4",6
10,11,Austin,Bound to Learn,Domestic,2.69810759540441,1,2.69810759540441,1,SKUT1,7
10,17,Austin,Bound to Learn,Domestic,20.18870686297628,1,20.18870686297628,1,SKUT4,8
10,19,Austin,Bound to Learn,Domestic,1.0138698403541508,16,16.221917445666413,1,SKUT3,9
10,19,Austin,Bound to Learn,Domestic,2.9273012560058356,16,46.83682009609337,1,SKUT3,10
10,8,Austin,Bound to Learn,Domestic,1.625105381456289,1,1.625105381456289,1,SKUT1,11
11,20,Austin,Bound to Learn,Domestic,6.5196299031256455,26,169.51037748126677,3,"SKUT1,SKUT2,SKUT4",0
11,19,Austin,Bound to Learn,Domestic,11.196335337650423,1,11.196335337650423,1,SKUT1,1
11,1,Austin,Bound to Learn,Domestic,2.2229412858727216,45,100.03235786427247,3,"SKUT1,SKUT2,SKUT3",2
11,18,Austin,Bound to Learn,Domestic,25.411021330312384,40,1016.4408532124953,2,"SKUT2,SKUT3",3
11,2,Austin,Bound to Learn,Domestic,1.6715597303409888,1,1.6715597303409888,1,SKUT4,4
11,1,Austin,Bound to Learn,Domestic,10.403297194753993,45,468.14837376392967,3,"SKUT1,SKUT2,SKUT3",5
11,15,Austin,Bound to Learn,Domestic,12.343059430668056,25,308.5764857667014,2,"SKUT1,SKUT2",6
11,15,Austin,Bound to Learn,Domestic,14.818345630689935,25,370.45864076724837,2,"SKUT1,SKUT2",7
11,5,Austin,Bound to Learn,Domestic,12.524115596052708,24,300.578774305265,1,SKUT2,8
12,17,Austin,Bound to Learn,Domestic,9.486342668593913,25,237.15856671484784,1,SKUT2,0
12,12,Austin,Bound to Learn,Domestic,0.24621983692047958,1,0.24621983692047958,1,SKUT4,1
12,6,Austin,Bound to Learn,Domestic,9.257948535341425,1,9.257948535341425,1,SKUT1,2
12,19,Austin,Bound to Learn,Domestic,16.613615804122936,1,16.613615804122936,1,SKUT1,3
12,17,Austin,Bound to Learn,Domestic,15.205067858359545,25,380.12669645898865,1,SKUT2,4
12,19,Austin,Bound to Learn,Domestic,3.6141409378025204,1,3.6141409378025204,1,SKUT1,5
12,1,Austin,Bound to Learn,Domestic,45.50140848445258,37,1683.5521139247455,4,"SKUT1,SKUT2,SKUT3,SKUT4",6
12,2,Austin,Bound to Learn,Domestic,9.379025639227823,39,365.7819999298851,4,"SKUT1,SKUT2,SKUT3,SKUT4",7
12,12,Austin,Bound to Learn,Domestic,1.4292092966650505,1,1.4292092966650505,1,SKUT4,8
12,1,Austin,Bound to Learn,Domestic,6.726815312512645,37,248.89216656296787,4,"SKUT1,SKUT2,SKUT3,SKUT4",9
12,19,Austin,Bound to Learn,Domestic,2.4502206439432546,1,2.4502206439432546,1,SKUT1,10
12,15,Austin,Bound to Learn,Domestic,2.9514556738232685,25,73.7863918455817,1,SKUT2,11
12,13,Austin,Bound to Learn,Domestic,19.139984233245137,16,306.2397477319222,3,"SKUT1,SKUT3,SKUT4",12
12,1,Austin,Bound to Learn,Domestic,1.501177534146628,37,55.543568763425235,4,"SKUT1,SKUT2,SKUT3,SKUT4",13
13,21,Austin,Bound to Learn,Domestic,5.280502052238479,1,5.280502052238479,1,SKUT1,0
13,4,Austin,Bound to Learn,Domestic,7.808026104500096,38,296.7049919710036,3,"SKUT1,SKUT2,SKUT3",1
13,13,Austin,Bound to Learn,Domestic,19.631375813178344,1,19.631375813178344,1,SKUT4,2
13,2,Austin,Bound to Learn,Domestic,10.277281366892305,1,10.277281366892305,1,SKUT1,3
13,16,Austin,Bound to Learn,Domestic,13.611375964553403,23,313.06164718472826,2,"SKUT2,SKUT4",4
13,21,Austin,Bound to Learn,Domestic,5.659123706586433,1,5.659123706586433,1,SKUT1,5
13,1,Austin,Bound to Learn,Domestic,0.18408127275109873,15,2.761219091266481,3,"SKUT2,SKUT3,SKUT4",6
13,7,Austin,Bound to Learn,Domestic,0.6937964341975302,22,15.263521552345665,1,SKUT2,7
13,9,Austin,Bound to Learn,Domestic,12.226731882937603,17,207.85444200993925,3,"SKUT1,SKUT3,SKUT4",8
13,7,Austin,Bound to Learn,Domestic,4.252034488148789,22,93.54475873927336,1,SKUT2,9
13,7,Austin,Bound to Learn,Domestic,6.057360913017169,22,133.2619400863777,1,SKUT2,10
14,18,Austin,Bound to Learn,Domestic,1.9238334684150162,1,1.9238334684150162,1,SKUT1,0
14,4,Austin,Bound to Learn,Domestic,3.0539928552649878,16,48.863885684239804,2,"SKUT3,SKUT4",1
14,8,Austin,Bound to Learn,Domestic,10.024732082194296,19,190.46990956169162,1,SKUT2,2
14,21,Austin,Bound to Learn,Domestic,17.698995354586422,19,336.28091173714205,1,SKUT2,3
15,14,Austin,Bound to Learn,Domestic,10.870220362698712,1,10.870220362698712,1,SKUT4,0
15,6,Austin,Bound to Learn,Domestic,35.72101306186347,16,571.5362089898155,1,SKUT3,1
15,15,Austin,Bound to Learn,Domestic,58.49025550840122,2,116.98051101680244,2,"SKUT1,SKUT4",2
15,7,Austin,Bound to Learn,Domestic,15.778174851293716,27,426.01072098493034,1,SKUT2,3
15,16,Austin,Bound to Learn,Domestic,18.012801653809753,2,36.025603307619505,2,"SKUT1,SKUT4",4
15,2,Austin,Bound to Learn,Domestic,1.864203708543102,1,1.864203708543102,1,SKUT1,5
