simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,total_trucks_affected,total_truck_days_delay,avg_delay_duration,avg_skus_per_event,avg_trucks_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.3,5.0,8682,14508,290311,1449973.7989004673,5.01381856922453,1.6710435383552178,33.43826307302465,5481,3201,,,
2,0.3,5.0,8549,14187,277447,1389108.9389845857,4.977905246740537,1.6594923382851796,32.45373727921395,5395,3154,,,
3,0.3,5.0,8542,14215,279847,1449370.3395822681,5.07401440608037,1.6641301802856474,32.76129712011239,5415,3127,,,
4,0.3,5.0,8623,14322,283131,1457938.6810097327,5.0177426437410295,1.6609068769569755,32.834396381769686,5465,3158,,,
5,0.3,5.0,8700,14427,283236,1429406.2547537186,5.083982349242525,1.6582758620689655,32.55586206896552,5413,3287,,,
6,0.3,5.0,8777,14488,286165,1419215.590185375,5.008227367266665,1.6506779081690783,32.60396490828301,5545,3232,,,
7,0.3,5.0,8588,14298,281920,1403898.0627543791,4.96323498994941,1.6648812296227293,32.827200745225895,5437,3151,,,
8,0.3,5.0,8621,14115,275867,1367345.0300137317,4.9921859282298735,1.6372810578819164,31.99942002087925,5287,3334,,,
9,0.3,5.0,8726,14431,281012,1421389.3451353195,5.024412748903498,1.6537932615173045,32.203988081595234,5530,3196,,,
10,0.3,5.0,8611,14278,282584,1387632.1238378999,5.056761753131919,1.6581117175705493,32.81662989199861,5436,3175,,,
11,0.3,5.0,8702,14399,282317,1413553.7574393323,4.988184073016821,1.654677085727419,32.44277177660308,5507,3195,,,
12,0.3,5.0,8649,14340,277335,1355021.3888890687,4.969668297090216,1.657995143947277,32.06555671175858,5451,3198,,,
13,0.3,5.0,8553,14159,276443,1379141.2587441339,4.983765906432096,1.655442534783117,32.321173857126155,5443,3110,,,
14,0.3,5.0,8701,14420,287999,1456702.5052221948,4.9795141519884085,1.65728077232502,33.09952878979428,5467,3234,,,
15,0.3,5.0,8650,14382,282839,1399012.4291895558,4.994159144055333,1.6626589595375723,32.69815028901734,5412,3238,,,
16,0.3,5.0,8667,14502,286299,1416909.5767179467,4.908636852610928,1.6732433367947386,33.033229491173415,5487,3180,,,
17,0.3,5.0,8746,14440,287629,1426549.9687330807,4.95897651849144,1.6510404756460095,32.886919734735876,5472,3274,,,
18,0.3,5.0,8622,14362,283280,1396025.4249982191,5.024636984069118,1.6657388077012294,32.855485966133145,5478,3144,,,
19,0.3,5.0,8829,14587,282119,1407631.2057528473,4.987694608933781,1.6521689885604258,31.953675387926154,5556,3273,,,
20,0.3,5.0,8820,14564,282493,1442426.3025390473,5.044944040125746,1.6512471655328798,32.028684807256234,5488,3332,,,
21,0.3,5.0,8512,14122,277293,1397291.4337961953,4.971424891017238,1.6590695488721805,32.57671522556391,5359,3153,,,
22,0.3,5.0,8681,14335,278740,1386360.0858624051,4.962770325572911,1.6513074530584033,32.10920400875475,5446,3235,,,
23,0.3,5.0,8747,14492,281428,1348726.8917683864,4.923120920062525,1.6567966159826226,32.17423116497085,5575,3172,,,
24,0.3,5.0,8505,14178,279778,1397016.341819512,5.014071219488939,1.6670194003527337,32.895708406819516,5370,3135,,,
25,0.3,5.0,8557,14145,277255,1407844.8654353363,5.019830361786141,1.6530326048848896,32.40095827977095,5412,3145,,,
26,0.3,5.0,8556,14219,281206,1400195.1136630597,4.97745126315305,1.6618747078073866,32.866526414212245,5376,3180,,,
27,0.3,5.0,8670,14338,286703,1411286.8534330733,5.026533503518663,1.653748558246828,33.068396770472894,5494,3176,,,
28,0.3,5.0,8564,14373,285153,1426805.7253259853,4.94656342166643,1.6783045305931807,33.29670714619337,5482,3082,,,
29,0.3,5.0,8692,14487,284859,1443333.493362047,4.987937485340534,1.666705016106765,32.772549470777726,5473,3219,,,
30,0.3,5.0,8748,14421,283742,1416304.0114518888,4.994767804754762,1.648491083676269,32.435070873342475,5533,3215,,,
31,0.3,5.0,8711,14266,275174,1385898.2724282641,5.02172314358794,1.6376994604523016,31.589254964986797,5495,3216,,,
32,0.3,5.0,8724,14514,285293,1415167.3351673263,5.008425717342794,1.6636863823933976,32.70208619899129,5518,3206,,,
33,0.3,5.0,8739,14444,284047,1415821.5183349475,5.00012606251317,1.652820688866003,32.50337567227371,5576,3163,,,
34,0.3,5.0,8536,14073,271048,1376246.1055846177,5.02803507070543,1.648664479850047,31.753514526710404,5411,3125,,,
35,0.3,5.0,8769,14549,283382,1449098.6532533113,5.047543947806206,1.659140152811039,32.31634165811381,5506,3263,,,
36,0.3,5.0,8816,14462,286145,1438424.6753919872,5.000286296597126,1.640426497277677,32.45746370235935,5475,3341,,,
37,0.3,5.0,8564,14339,280012,1410118.7370601185,4.988714352739792,1.6743344231667445,32.69640354974311,5420,3144,,,
38,0.3,5.0,8665,14243,276418,1341418.0708563607,4.96769981898942,1.6437391806116561,31.900519330640506,5483,3182,,,
39,0.3,5.0,8665,14333,284163,1444173.4464102741,5.040391272467971,1.6541257934218119,32.794345066358915,5494,3171,,,
40,0.3,5.0,8389,13846,267299,1314483.5766382765,4.9612619025513105,1.6504946954344974,31.863034926689714,5280,3109,,,
41,0.3,5.0,8759,14483,278315,1404311.5361056968,5.009189144668593,1.6534992579061536,31.77474597556799,5516,3243,,,
42,0.3,5.0,8552,14162,290502,1411586.9058853795,5.017028321050964,1.6559869036482695,33.96889616463985,5413,3139,,,
43,0.3,5.0,8788,14526,285629,1451662.7842583584,5.038082144789509,1.6529358215748748,32.50216203914429,5485,3303,,,
44,0.3,5.0,8695,14309,282631,1457666.7196202676,5.093364776495879,1.6456584243818286,32.50500287521564,5611,3084,,,
45,0.3,5.0,8606,14276,281645,1419144.7514994075,5.007129488604162,1.6588426679061121,32.72658610271903,5415,3191,,,
46,0.3,5.0,8566,14220,282780,1397042.896198926,4.917711668226563,1.6600513658650478,33.011907541442916,5402,3164,,,
47,0.3,5.0,8616,14347,282426,1418220.5610541776,5.002502635389065,1.6651578458681522,32.77924791086351,5411,3205,,,
