Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
1,1,Austin,Bound to Learn,Domestic,1.5728560001976073,35,55.04996000691626,4,"SKUT1,SKUT2,SKUT3,SKUT4",0
1,20,Austin,Bound to Learn,Domestic,8.097328344820097,1,8.097328344820097,1,SKUT1,1
1,10,Austin,Bound to Learn,Domestic,8.105949492913942,1,8.105949492913942,1,SKUT1,2
1,1,Austin,Bound to Learn,Domestic,0.5853492486360429,35,20.4872237022615,4,"SKUT1,SKUT2,SKUT3,SKUT4",3
1,9,Austin,Bound to Learn,Domestic,7.202039071688861,12,86.42446886026633,1,SKUT3,4
1,15,Austin,Bound to Learn,Domestic,33.831033217656554,13,439.8034318295352,2,"SKUT1,SKUT3",5
1,2,Austin,Bound to Learn,Domestic,11.556946744419252,23,265.80977512164276,2,"SKUT1,SKUT2",6
1,18,Austin,Bound to Learn,Domestic,2.323909927154646,13,30.210829053010396,2,"SKUT1,SKUT3",7
1,14,Austin,Bound to Learn,Domestic,1.4432488915791701,35,50.51371120527095,4,"SKUT1,SKUT2,SKUT3,SKUT4",8
2,5,Austin,Bound to Learn,Domestic,27.99437376585775,14,391.9212327220085,2,"SKUT3,SKUT4",0
2,11,Austin,Bound to Learn,Domestic,6.845104984851972,1,6.845104984851972,1,SKUT4,1
2,18,Austin,Bound to Learn,Domestic,8.207931433564067,22,180.57449153840946,1,SKUT2,2
2,18,Austin,Bound to Learn,Domestic,18.386383092701124,22,404.5004280394247,1,SKUT2,3
2,4,Austin,Bound to Learn,Domestic,3.3728048998512565,1,3.3728048998512565,1,SKUT1,4
3,1,Austin,Bound to Learn,Domestic,6.262305870865164,16,100.19689393384263,4,"SKUT1,SKUT2,SKUT3,SKUT4",0
3,11,Austin,Bound to Learn,Domestic,7.0414023650555375,20,140.82804730111076,1,SKUT2,1
3,8,Austin,Bound to Learn,Domestic,1.252421201191036,35,43.83474204168626,2,"SKUT2,SKUT3",2
3,1,Austin,Bound to Learn,Domestic,16.49313862155967,16,263.8902179449547,4,"SKUT1,SKUT2,SKUT3,SKUT4",3
3,3,Austin,Bound to Learn,Domestic,14.714403187699485,1,14.714403187699485,1,SKUT4,4
3,6,Austin,Bound to Learn,Domestic,7.8457205243471195,1,7.8457205243471195,1,SKUT1,5
3,15,Austin,Bound to Learn,Domestic,5.359046074817973,1,5.359046074817973,1,SKUT4,6
3,4,Austin,Bound to Learn,Domestic,8.723703613181678,1,8.723703613181678,1,SKUT1,7
3,16,Austin,Bound to Learn,Domestic,32.45458395042043,2,64.90916790084086,2,"SKUT1,SKUT4",8
3,4,Austin,Bound to Learn,Domestic,31.51748587189586,1,31.51748587189586,1,SKUT1,9
4,18,Austin,Bound to Learn,Domestic,9.907528183115367,17,168.42797911296125,3,"SKUT1,SKUT3,SKUT4",0
4,15,Austin,Bound to Learn,Domestic,2.864445817528776,17,48.69557889798919,3,"SKUT1,SKUT3,SKUT4",1
4,21,Austin,Bound to Learn,Domestic,8.176392977058114,25,204.40982442645287,1,SKUT2,2
4,13,Austin,Bound to Learn,Domestic,8.22558588377931,41,337.2490212349517,3,"SKUT2,SKUT3,SKUT4",3
4,4,Austin,Bound to Learn,Domestic,11.32652348894594,40,453.06093955783757,2,"SKUT2,SKUT3",4
4,12,Austin,Bound to Learn,Domestic,33.056845061909065,25,826.4211265477267,1,SKUT2,5
4,18,Austin,Bound to Learn,Domestic,12.182054153520742,17,207.0949206098526,3,"SKUT1,SKUT3,SKUT4",6
4,1,Austin,Bound to Learn,Domestic,2.942244950809104,6,17.653469704854622,1,SKUT2,7
4,11,Austin,Bound to Learn,Domestic,3.577926892200432,16,57.24683027520691,2,"SKUT1,SKUT3",8
4,21,Austin,Bound to Learn,Domestic,9.067095196989845,25,226.67737992474613,1,SKUT2,9
4,7,Austin,Bound to Learn,Domestic,3.293302396725467,40,131.73209586901868,2,"SKUT2,SKUT3",10
5,21,Austin,Bound to Learn,Domestic,35.62319782340458,27,961.8263412319237,1,SKUT2,0
5,14,Austin,Bound to Learn,Domestic,13.520766366496733,1,13.520766366496733,1,SKUT4,1
5,18,Austin,Bound to Learn,Domestic,3.150420282143319,46,144.91933297859268,4,"SKUT1,SKUT2,SKUT3,SKUT4",2
5,16,Austin,Bound to Learn,Domestic,9.36826679850049,18,168.62880237300882,1,SKUT3,3
5,7,Austin,Bound to Learn,Domestic,19.751789111155382,2,39.503578222310765,2,"SKUT1,SKUT4",4
5,6,Austin,Bound to Learn,Domestic,7.71916628816143,18,138.94499318690575,1,SKUT3,5
5,4,Austin,Bound to Learn,Domestic,11.281016963357438,45,507.64576335108467,3,"SKUT1,SKUT2,SKUT3",6
5,10,Austin,Bound to Learn,Domestic,1.3550577188351869,28,37.94161612738523,2,"SKUT1,SKUT2",7
5,9,Austin,Bound to Learn,Domestic,1.8467222638755856,18,33.24100074976054,1,SKUT3,8
5,19,Austin,Bound to Learn,Domestic,1.630522345559049,2,3.261044691118098,2,"SKUT1,SKUT4",9
5,4,Austin,Bound to Learn,Domestic,0.1821842296712147,45,8.19829033520466,3,"SKUT1,SKUT2,SKUT3",10
6,11,Austin,Bound to Learn,Domestic,8.778768167020946,19,166.79659517339798,1,SKUT3,0
6,18,Austin,Bound to Learn,Domestic,25.982481726501963,20,519.6496345300393,2,"SKUT3,SKUT4",1
6,4,Austin,Bound to Learn,Domestic,20.252046375372984,20,405.0409275074597,2,"SKUT1,SKUT3",2
6,17,Austin,Bound to Learn,Domestic,5.800901200362419,21,121.81892520761079,1,SKUT2,3
6,1,Austin,Bound to Learn,Domestic,22.311212489806742,20,446.2242497961348,3,"SKUT1,SKUT3,SKUT4",4
6,10,Austin,Bound to Learn,Domestic,20.389483490573692,19,387.40018632090016,1,SKUT3,5
6,18,Austin,Bound to Learn,Domestic,15.991963047293524,20,319.8392609458705,2,"SKUT3,SKUT4",6
6,7,Austin,Bound to Learn,Domestic,7.427640836113229,1,7.427640836113229,1,SKUT4,7
6,3,Austin,Bound to Learn,Domestic,61.546195954348846,20,1230.9239190869769,2,"SKUT1,SKUT3",8
6,10,Austin,Bound to Learn,Domestic,8.4575285501934,19,160.6930424536746,1,SKUT3,9
7,21,Austin,Bound to Learn,Domestic,48.14105343216595,32,1540.5137098293103,1,SKUT2,0
7,10,Austin,Bound to Learn,Domestic,1.5817786013985995,2,3.163557202797199,2,"SKUT1,SKUT4",1
7,16,Austin,Bound to Learn,Domestic,0.5443175164562776,53,28.848828372182712,2,"SKUT2,SKUT3",2
7,16,Austin,Bound to Learn,Domestic,14.12792997982516,53,748.7802889307335,2,"SKUT2,SKUT3",3
7,6,Austin,Bound to Learn,Domestic,7.9982363321124055,21,167.96296297436052,1,SKUT3,4
7,8,Austin,Bound to Learn,Domestic,0.7749890889168262,2,1.5499781778336523,2,"SKUT1,SKUT4",5
7,5,Austin,Bound to Learn,Domestic,6.249651178071564,32,199.98883769829004,1,SKUT2,6
7,20,Austin,Bound to Learn,Domestic,0.2738577521909619,33,9.037305822301743,2,"SKUT1,SKUT2",7
7,1,Austin,Bound to Learn,Domestic,1.2586382597267898,16,20.138212155628636,4,"SKUT1,SKUT2,SKUT3,SKUT4",8
7,11,Austin,Bound to Learn,Domestic,24.026687332310654,34,816.9073692985622,3,"SKUT1,SKUT2,SKUT4",9
7,3,Austin,Bound to Learn,Domestic,19.153262788906172,21,402.2185185670296,1,SKUT3,10
7,9,Austin,Bound to Learn,Domestic,44.15463880962386,2,88.30927761924772,1,SKUT1,11
7,4,Austin,Bound to Learn,Domestic,21.75406173497723,2,43.50812346995446,1,SKUT1,12
8,2,Austin,Bound to Learn,Domestic,1.478025295464659,26,38.42865768208114,2,"SKUT2,SKUT4",0
8,4,Austin,Bound to Learn,Domestic,6.058347606323476,22,133.28364733911647,1,SKUT3,1
8,7,Austin,Bound to Learn,Domestic,6.199852791030492,29,179.79573093988427,1,SKUT2,2
8,8,Austin,Bound to Learn,Domestic,10.11668576984744,1,10.11668576984744,1,SKUT4,3
8,17,Austin,Bound to Learn,Domestic,3.91394528876872,23,90.02074164168056,2,"SKUT3,SKUT4",4
8,1,Austin,Bound to Learn,Domestic,5.633522549763907,24,135.20454119433379,3,"SKUT1,SKUT3,SKUT4",5
8,12,Austin,Bound to Learn,Domestic,14.179660285308673,22,311.9525262767908,1,SKUT3,6
8,13,Austin,Bound to Learn,Domestic,24.016772715717146,24,576.4025451772116,2,"SKUT1,SKUT3",7
8,17,Austin,Bound to Learn,Domestic,28.311298780859794,23,651.1598719597753,2,"SKUT3,SKUT4",8
8,9,Austin,Bound to Learn,Domestic,30.914082082748514,3,92.74224624824555,2,"SKUT1,SKUT4",9
9,14,Austin,Bound to Learn,Domestic,1.9409299607100534,2,3.881859921420107,2,"SKUT1,SKUT4",0
9,14,Austin,Bound to Learn,Domestic,9.505393509550563,2,19.010787019101127,2,"SKUT1,SKUT4",1
9,15,Austin,Bound to Learn,Domestic,14.385637235617505,1,14.385637235617505,1,SKUT4,2
9,16,Austin,Bound to Learn,Domestic,39.80610010586864,25,995.1525026467159,1,SKUT2,3
9,16,Austin,Bound to Learn,Domestic,10.985983028243629,25,274.64957570609073,1,SKUT2,4
9,14,Austin,Bound to Learn,Domestic,24.255985398062904,2,48.51197079612581,2,"SKUT1,SKUT4",5
9,9,Austin,Bound to Learn,Domestic,0.640217292081943,20,12.80434584163886,2,"SKUT3,SKUT4",6
9,2,Austin,Bound to Learn,Domestic,2.0962051048477957,46,96.4254348229986,4,"SKUT1,SKUT2,SKUT3,SKUT4",7
9,20,Austin,Bound to Learn,Domestic,15.644830248370106,21,328.5414352157722,3,"SKUT1,SKUT3,SKUT4",8
10,8,Austin,Bound to Learn,Domestic,7.628420665696743,1,7.628420665696743,1,SKUT1,0
10,2,Austin,Bound to Learn,Domestic,13.230640154404123,13,171.9983220072536,1,SKUT3,1
10,12,Austin,Bound to Learn,Domestic,36.37625831998963,1,36.37625831998963,1,SKUT4,2
10,6,Austin,Bound to Learn,Domestic,14.38747390395828,1,14.38747390395828,1,SKUT1,3
10,14,Austin,Bound to Learn,Domestic,0.7484976041220888,17,12.72445927007551,2,"SKUT1,SKUT3",4
10,8,Austin,Bound to Learn,Domestic,15.095589659190244,1,15.095589659190244,1,SKUT1,5
10,14,Austin,Bound to Learn,Domestic,7.310744712671714,17,124.28266011541915,2,"SKUT1,SKUT3",6
10,14,Austin,Bound to Learn,Domestic,4.895590888805428,17,83.22504510969227,2,"SKUT1,SKUT3",7
10,15,Austin,Bound to Learn,Domestic,12.5641486205004,17,213.5905265485068,2,"SKUT1,SKUT3",8
10,12,Austin,Bound to Learn,Domestic,2.8177537525475596,1,2.8177537525475596,1,SKUT4,9
10,7,Austin,Bound to Learn,Domestic,10.336116468318524,21,217.058445834689,3,"SKUT1,SKUT2,SKUT4",10
10,11,Austin,Bound to Learn,Domestic,13.665006439950675,1,13.665006439950675,1,SKUT1,11
10,10,Austin,Bound to Learn,Domestic,3.594936496010587,17,61.11392043217998,2,"SKUT1,SKUT3",12
11,1,Austin,Bound to Learn,Domestic,28.63511806889931,45,1288.5803131004689,3,"SKUT1,SKUT2,SKUT3",0
11,19,Austin,Bound to Learn,Domestic,16.36427554490587,1,16.36427554490587,1,SKUT1,1
11,7,Austin,Bound to Learn,Domestic,11.079577868776166,25,276.98944671940416,2,"SKUT1,SKUT2",2
12,4,Austin,Bound to Learn,Domestic,10.36182080352666,14,145.06549124937325,1,SKUT3,0
12,19,Austin,Bound to Learn,Domestic,5.1304468860538215,1,5.1304468860538215,1,SKUT1,1
12,8,Austin,Bound to Learn,Domestic,3.797561128350898,16,60.760978053614366,3,"SKUT1,SKUT3,SKUT4",2
12,8,Austin,Bound to Learn,Domestic,27.380936883586003,16,438.09499013737604,3,"SKUT1,SKUT3,SKUT4",3
12,15,Austin,Bound to Learn,Domestic,7.769548406354685,25,194.23871015886712,1,SKUT2,4
12,21,Austin,Bound to Learn,Domestic,4.677810963366331,26,121.6230850475246,2,"SKUT1,SKUT2",5
12,17,Austin,Bound to Learn,Domestic,4.697754896386826,25,117.44387240967065,1,SKUT2,6
12,13,Austin,Bound to Learn,Domestic,1.7858246060801242,16,28.573193697281987,3,"SKUT1,SKUT3,SKUT4",7
12,15,Austin,Bound to Learn,Domestic,13.961016749428833,25,349.0254187357208,1,SKUT2,8
12,8,Austin,Bound to Learn,Domestic,9.185881719388346,16,146.97410751021354,3,"SKUT1,SKUT3,SKUT4",9
12,8,Austin,Bound to Learn,Domestic,0.2092717341413433,16,3.348347746261493,3,"SKUT1,SKUT3,SKUT4",10
12,3,Austin,Bound to Learn,Domestic,0.7196227464589228,14,10.07471845042492,1,SKUT3,11
12,12,Austin,Bound to Learn,Domestic,18.403535744320077,1,18.403535744320077,1,SKUT4,12
12,14,Austin,Bound to Learn,Domestic,4.176732079545017,25,104.41830198862543,1,SKUT2,13
12,21,Austin,Bound to Learn,Domestic,2.590599151163419,26,67.3555779302489,2,"SKUT1,SKUT2",14
13,16,Austin,Bound to Learn,Domestic,32.08713760717029,23,738.0041649649168,2,"SKUT2,SKUT4",0
13,19,Austin,Bound to Learn,Domestic,35.289240494302966,16,564.6278479088475,2,"SKUT3,SKUT4",1
13,3,Austin,Bound to Learn,Domestic,8.130202172207081,16,130.0832347553133,2,"SKUT1,SKUT3",2
13,6,Austin,Bound to Learn,Domestic,28.1205155266088,16,449.9282484257408,2,"SKUT3,SKUT4",3
13,17,Austin,Bound to Learn,Domestic,43.4877819130207,23,1000.218983999476,2,"SKUT1,SKUT2",4
13,2,Austin,Bound to Learn,Domestic,3.7022401799017466,1,3.7022401799017466,1,SKUT1,5
13,21,Austin,Bound to Learn,Domestic,36.17242503406487,1,36.17242503406487,1,SKUT1,6
13,7,Austin,Bound to Learn,Domestic,20.56777384031539,22,452.49102448693856,1,SKUT2,7
13,12,Austin,Bound to Learn,Domestic,2.5927985467036088,16,41.48477674725774,2,"SKUT3,SKUT4",8
14,20,Austin,Bound to Learn,Domestic,6.4712243528700855,34,220.0216279975829,3,"SKUT2,SKUT3,SKUT4",0
14,8,Austin,Bound to Learn,Domestic,2.1909496913365976,19,41.628044135395356,1,SKUT2,1
14,9,Austin,Bound to Learn,Domestic,1.6214696133375188,20,32.42939226675038,2,"SKUT1,SKUT2",2
14,1,Austin,Bound to Learn,Domestic,2.518661881960851,15,37.77992822941276,3,"SKUT1,SKUT3,SKUT4",3
14,17,Austin,Bound to Learn,Domestic,7.82348601584136,15,117.35229023762041,1,SKUT3,4
15,2,Austin,Bound to Learn,Domestic,9.309071746307204,1,9.309071746307204,1,SKUT1,0
15,5,Austin,Bound to Learn,Domestic,0.8551435235272038,1,0.8551435235272038,1,SKUT4,1
15,17,Austin,Bound to Learn,Domestic,10.927839763322856,28,305.97951337304,2,"SKUT1,SKUT2",2
15,14,Austin,Bound to Learn,Domestic,39.39948081425061,1,39.39948081425061,1,SKUT4,3
15,15,Austin,Bound to Learn,Domestic,8.903313605242069,2,17.806627210484137,2,"SKUT1,SKUT4",4
