simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,avg_delay_duration,avg_skus_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.15,10.0,4285,7053,9.79145893499114,1.6459743290548425,2689,1596,,,
2,0.15,10.0,4258,7056,10.110162455765785,1.657116016909347,2687,1571,,,
3,0.15,10.0,4306,7176,9.913023454747444,1.6665118439386901,2715,1591,,,
4,0.15,10.0,4267,7066,10.43215203657336,1.6559643777829858,2686,1581,,,
5,0.15,10.0,4307,7248,9.853424047750675,1.6828418853029952,2674,1633,,,
6,0.15,10.0,4358,7162,10.236582827108972,1.6434144102799448,2669,1689,,,
7,0.15,10.0,4308,6989,10.193745946977417,1.622330547818013,2697,1611,,,
8,0.15,10.0,4410,7222,10.259881254740774,1.637641723356009,2752,1658,,,
9,0.15,10.0,4318,7064,10.170836368832191,1.635942566002779,2712,1606,,,
10,0.15,10.0,4281,7084,10.06468201511346,1.6547535622518104,2707,1574,,,
11,0.15,10.0,4225,7092,10.076885659029896,1.6785798816568047,2663,1562,,,
12,0.15,10.0,4345,7202,10.042654141783839,1.6575373993095512,2746,1599,,,
13,0.15,10.0,4326,7133,9.711291975726164,1.6488673139158576,2747,1579,,,
14,0.15,10.0,4356,7245,9.971064559028523,1.6632231404958677,2736,1620,,,
15,0.15,10.0,4308,7220,9.743325557745932,1.6759517177344476,2695,1613,,,
16,0.15,10.0,4315,7119,9.828910795278134,1.6498261877172653,2752,1563,,,
17,0.15,10.0,4257,7070,9.985634867356557,1.6607939863753818,2682,1575,,,
18,0.15,10.0,4332,7197,9.781135004395537,1.6613573407202216,2720,1612,,,
19,0.15,10.0,4283,7107,10.093652709266216,1.6593509222507588,2712,1571,,,
20,0.15,10.0,4204,6990,9.792324275539652,1.6627021883920077,2596,1608,,,
21,0.15,10.0,4391,7269,10.111364657948762,1.6554315645638806,2759,1632,,,
22,0.15,10.0,4225,7019,10.081834624796226,1.661301775147929,2677,1548,,,
23,0.15,10.0,4341,7174,9.81668005236356,1.6526146049297397,2715,1626,,,
24,0.15,10.0,4407,7334,9.948521305529809,1.6641706376219652,2788,1619,,,
25,0.15,10.0,4461,7362,9.890682930388799,1.6503026227303295,2833,1628,,,
26,0.15,10.0,4325,7158,10.037077312478687,1.655028901734104,2724,1601,,,
27,0.15,10.0,4323,7126,10.034097974023584,1.6483923201480453,2689,1634,,,
28,0.15,10.0,4304,6998,10.030207719536492,1.6259293680297398,2653,1651,,,
29,0.15,10.0,4280,7042,9.94138363192966,1.6453271028037384,2644,1636,,,
30,0.15,10.0,4295,7170,10.189271943865315,1.669383003492433,2668,1627,,,
31,0.15,10.0,4329,7070,9.937671613775834,1.6331716331716333,2750,1579,,,
32,0.15,10.0,4217,6934,9.977305824920874,1.6442968935262035,2647,1570,,,
33,0.15,10.0,4339,7221,9.82020433629251,1.6642083429361605,2779,1560,,,
34,0.15,10.0,4271,7037,9.845363557955324,1.647623507375322,2682,1589,,,
35,0.15,10.0,4399,7327,9.991334520666756,1.6656058195044328,2799,1600,,,
36,0.15,10.0,4369,7232,10.269567068149376,1.6552986953536277,2705,1664,,,
37,0.15,10.0,4242,6994,9.988538285754021,1.6487505893446488,2645,1597,,,
38,0.15,10.0,4308,7170,10.16866059380225,1.6643454038997214,2732,1576,,,
39,0.15,10.0,4377,7199,10.262614457683124,1.6447338359607038,2752,1625,,,
40,0.15,10.0,4192,6838,9.765203459830406,1.6312022900763359,2658,1534,,,
41,0.15,10.0,4344,7213,9.958783710885415,1.660451197053407,2722,1622,,,
42,0.15,10.0,4328,7190,9.996038283180868,1.661275415896488,2679,1649,,,
43,0.15,10.0,4363,7200,9.806169759473983,1.650240660096264,2741,1622,,,
44,0.15,10.0,4357,7251,10.147706325093536,1.6642184989671793,2797,1560,,,
45,0.15,10.0,4456,7351,10.032093100070373,1.6496858168761221,2839,1617,,,
46,0.15,10.0,4297,7201,10.037186384555818,1.675820339771934,2719,1578,,,
47,0.15,10.0,4289,7079,9.924039598923077,1.650501282350198,2720,1569,,,
48,0.15,10.0,4247,7019,10.234953015924184,1.6526960207205086,2691,1556,,,
49,0.15,10.0,4425,7404,10.048766843714587,1.673220338983051,2781,1644,,,
50,0.15,10.0,4430,7342,9.927209116653659,1.6573363431151242,2770,1660,,,
