Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
1,3,Austin,Bound to Learn,Domestic,13.423984192632915,2,26.84796838526583,2,"SKUT1,SKUT4",0
1,8,Austin,Bound to Learn,Domestic,6.038164310995285,23,138.87777915289155,3,"SKUT1,SKUT2,SKUT4",1
1,21,Austin,Bound to Learn,Domestic,1.9524717713900583,13,25.382133028070758,3,"SKUT1,SKUT3,SKUT4",2
1,7,Austin,Bound to Learn,Domestic,30.926967302013995,22,680.3932806443079,1,SKUT2,3
1,21,Austin,Bound to Learn,Domestic,17.662946305208852,13,229.61830196771507,3,"SKUT1,SKUT3,SKUT4",4
2,19,Austin,Bound to Learn,Domestic,2.998083771756577,23,68.95592675040128,3,"SKUT1,SKUT2,SKUT4",0
2,14,Austin,Bound to Learn,Domestic,19.329536743755163,13,251.28397766881713,1,SKUT3,1
2,14,Austin,Bound to Learn,Domestic,27.870305754295956,13,362.3139748058474,1,SKUT3,2
2,2,Austin,Bound to Learn,Domestic,43.08162052752217,35,1507.856718463276,2,"SKUT2,SKUT3",3
2,9,Austin,Bound to Learn,Domestic,13.540069916627383,23,311.4216080824298,2,"SKUT1,SKUT2",4
2,18,Austin,Bound to Learn,Domestic,58.52877374654646,22,1287.633022424022,1,SKUT2,5
2,19,Austin,Bound to Learn,Domestic,0.9033611745162675,23,20.777307013874154,3,"SKUT1,SKUT2,SKUT4",6
2,5,Austin,Bound to Learn,Domestic,21.091262888935827,14,295.27768044510157,2,"SKUT3,SKUT4",7
2,19,Austin,Bound to Learn,Domestic,3.301745693366735,23,75.9401509474349,3,"SKUT1,SKUT2,SKUT4",8
2,4,Austin,Bound to Learn,Domestic,2.7244923099270495,1,2.7244923099270495,1,SKUT1,9
2,16,Austin,Bound to Learn,Domestic,17.391828821485174,13,226.09377467930724,1,SKUT3,10
2,21,Austin,Bound to Learn,Domestic,1.679613419847152,1,1.679613419847152,1,SKUT1,11
2,1,Austin,Bound to Learn,Domestic,23.67377516669422,16,378.7804026671075,3,"SKUT1,SKUT3,SKUT4",12
2,21,Austin,Bound to Learn,Domestic,16.43281126974636,1,16.43281126974636,1,SKUT1,13
3,7,Austin,Bound to Learn,Domestic,45.6977887309193,17,776.8624084256281,2,"SKUT1,SKUT3",0
3,1,Austin,Bound to Learn,Domestic,0.2565725188019198,16,4.1051603008307165,4,"SKUT1,SKUT2,SKUT3,SKUT4",1
3,19,Austin,Bound to Learn,Domestic,3.727331020533547,16,59.63729632853675,1,SKUT3,2
3,11,Austin,Bound to Learn,Domestic,31.92004077147123,20,638.4008154294246,1,SKUT2,3
3,3,Austin,Bound to Learn,Domestic,1.4730752182304059,1,1.4730752182304059,1,SKUT4,4
3,12,Austin,Bound to Learn,Domestic,9.605933711505056,21,201.72460794160617,2,"SKUT1,SKUT2",5
3,16,Austin,Bound to Learn,Domestic,37.30565124747141,2,74.61130249494282,2,"SKUT1,SKUT4",6
3,13,Austin,Bound to Learn,Domestic,41.97827278289752,16,671.6523645263603,1,SKUT3,7
3,19,Austin,Bound to Learn,Domestic,16.58033702662482,16,265.28539242599714,1,SKUT3,8
4,1,Austin,Bound to Learn,Domestic,4.263177531363406,6,25.579065188180437,1,SKUT2,0
4,11,Austin,Bound to Learn,Domestic,1.82442651982221,16,29.19082431715536,2,"SKUT1,SKUT3",1
4,10,Austin,Bound to Learn,Domestic,9.420943549426756,16,150.7350967908281,2,"SKUT1,SKUT3",2
4,3,Austin,Bound to Learn,Domestic,10.187032215595966,26,264.86283760549514,2,"SKUT2,SKUT4",3
4,12,Austin,Bound to Learn,Domestic,11.386024227268603,25,284.6506056817151,1,SKUT2,4
4,7,Austin,Bound to Learn,Domestic,15.21490268515652,40,608.5961074062608,2,"SKUT2,SKUT3",5
5,10,Austin,Bound to Learn,Domestic,8.645466688573409,28,242.07306728005545,2,"SKUT1,SKUT2",0
5,17,Austin,Bound to Learn,Domestic,22.487797456829384,46,1034.4386830141516,4,"SKUT1,SKUT2,SKUT3,SKUT4",1
5,3,Austin,Bound to Learn,Domestic,1.5412319752712424,27,41.61326333232355,1,SKUT2,2
5,18,Austin,Bound to Learn,Domestic,4.611520359601557,46,212.1299365416716,4,"SKUT1,SKUT2,SKUT3,SKUT4",3
5,11,Austin,Bound to Learn,Domestic,13.383001028356881,45,602.2350462760596,3,"SKUT1,SKUT2,SKUT3",4
5,21,Austin,Bound to Learn,Domestic,16.298379321117846,27,440.05624167018186,1,SKUT2,5
5,3,Austin,Bound to Learn,Domestic,20.971993765470675,27,566.2438316677083,1,SKUT2,6
5,3,Austin,Bound to Learn,Domestic,0.9202689263730268,27,24.847261012071723,1,SKUT2,7
5,19,Austin,Bound to Learn,Domestic,7.893302285858666,2,15.786604571717332,2,"SKUT1,SKUT4",8
5,10,Austin,Bound to Learn,Domestic,12.71570405527936,28,356.0397135478221,2,"SKUT1,SKUT2",9
5,16,Austin,Bound to Learn,Domestic,23.37430950146371,18,420.73757102634676,1,SKUT3,10
5,18,Austin,Bound to Learn,Domestic,5.850327653764977,46,269.11507207318897,4,"SKUT1,SKUT2,SKUT3,SKUT4",11
6,17,Austin,Bound to Learn,Domestic,27.174728275410153,21,570.6692937836132,1,SKUT2,0
6,3,Austin,Bound to Learn,Domestic,10.721772617990995,20,214.4354523598199,2,"SKUT1,SKUT3",1
6,1,Austin,Bound to Learn,Domestic,6.813931022813983,20,136.27862045627967,3,"SKUT1,SKUT3,SKUT4",2
6,11,Austin,Bound to Learn,Domestic,14.590683766027905,19,277.2229915545302,1,SKUT3,3
6,5,Austin,Bound to Learn,Domestic,16.508818757564473,1,16.508818757564473,1,SKUT1,4
6,11,Austin,Bound to Learn,Domestic,1.1244231127099618,19,21.364039141489272,1,SKUT3,5
6,16,Austin,Bound to Learn,Domestic,8.60893135468435,19,163.56969573900264,1,SKUT3,6
6,6,Austin,Bound to Learn,Domestic,4.131915308601078,22,90.90213678922372,2,"SKUT1,SKUT2",7
6,4,Austin,Bound to Learn,Domestic,13.547815033126607,20,270.95630066253216,2,"SKUT1,SKUT3",8
6,2,Austin,Bound to Learn,Domestic,24.84978189598463,19,472.145856023708,1,SKUT3,9
6,5,Austin,Bound to Learn,Domestic,1.9533495407070656,1,1.9533495407070656,1,SKUT1,10
