Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,4,Columbus,VoltEdge,International,999924.7619,118386.2853,33,67.3350008,99.65175528,volume,2,"SKUE1,SKUE2"
1,4,Sacramento,The Write Stuff,International,47619.04762,952.7336861,2,52.91005291,13.23241231,weight,2,"SKUW1,SKUW3"
1,4,Sacramento,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,4,Austin,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,4,Austin,Bound to Learn,Domestic,1538489.286,74068.58631,35,97.68185941,58.78459231,weight,3,"SKUT1,SKUT2,SKUT3"
1,4,Austin,Form & Function,Domestic,382561.9048,122419.8095,35,24.28964475,97.15857899,volume,1,SKUC2
1,4,Austin,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,5,Columbus,The Write Stuff,International,65827.38095,1219.025573,2,73.14153439,16.93091074,weight,2,"SKUW2,SKUW3"
1,5,Columbus,Bound to Learn,Domestic,1032407.143,49100.26786,23,99.7494824,59.29984041,weight,3,"SKUT1,SKUT2,SKUT4"
1,5,Columbus,Form & Function,Domestic,441667.619,127345.2857,36,27.26343327,98.26025132,volume,2,"SKUD1,SKUC2"
1,5,Columbus,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,5,Sacramento,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,5,Sacramento,Canvas & Co.,Domestic,28638.19048,717.0937776,1,63.64042328,19.9192716,weight,3,"SKUA1,SKUA2,SKUA3"
1,5,Sacramento,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,5,Sacramento,Form & Function,Domestic,170283.5714,208801.5238,59,6.413693839,98.30580217,volume,2,"SKUD2,SKUD3"
1,5,Sacramento,VoltEdge,International,999924.7619,118386.2853,33,67.3350008,99.65175528,volume,2,"SKUE1,SKUE2"
1,5,Austin,Form & Function,Domestic,144945.7143,53683.59788,15,21.47343915,99.41407015,volume,1,SKUC1
1,6,Columbus,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,6,Columbus,Form & Function,Domestic,506772.619,246394.4286,69,16.32117936,99.19260409,volume,3,"SKUD1,SKUD3,SKUC2"
1,6,Columbus,VoltEdge,International,132305.7143,14822.0948,5,58.80253968,82.3449711,volume,2,"SKUE1,SKUE3"
1,6,Sacramento,The Write Stuff,International,47619.04762,952.7336861,2,52.91005291,13.23241231,weight,2,"SKUW1,SKUW3"
1,6,Sacramento,Canvas & Co.,Domestic,28638.19048,717.0937776,1,63.64042328,19.9192716,weight,3,"SKUA1,SKUA2,SKUA3"
1,6,Sacramento,Bound to Learn,Domestic,1032407.143,49100.26786,23,99.7494824,59.29984041,weight,3,"SKUT1,SKUT2,SKUT4"
1,6,Sacramento,Form & Function,Domestic,144945.7143,53683.59788,15,21.47343915,99.41407015,volume,1,SKUC1
1,6,Sacramento,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,6,Austin,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,6,Austin,Form & Function,Domestic,105178.5714,89752.38095,25,9.349206349,99.72486772,volume,1,SKUD2
1,7,Columbus,The Write Stuff,International,47619.04762,952.7336861,2,52.91005291,13.23241231,weight,2,"SKUW1,SKUW3"
1,7,Columbus,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,7,Columbus,Bound to Learn,Domestic,49478.57143,1443.125,2,54.97619048,20.04340278,weight,2,"SKUT1,SKUT4"
1,7,Columbus,Form & Function,Domestic,65105,119049.1429,34,4.255228758,97.26237162,volume,1,SKUD3
1,7,Columbus,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,7,Sacramento,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,7,Sacramento,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,7,Sacramento,Form & Function,Domestic,527507.619,176103.4074,49,23.92324803,99.83186361,volume,2,"SKUC1,SKUC2"
1,7,Sacramento,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,7,Austin,Canvas & Co.,Domestic,23878.19048,674.0526896,1,53.0626455,18.72368582,weight,2,"SKUA2,SKUA3"
1,7,Austin,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
1,7,Austin,Form & Function,Domestic,164284.2857,94677.85714,27,13.52134039,97.40520282,volume,2,"SKUD1,SKUD2"
1,7,Austin,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,8,Columbus,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,8,Columbus,Form & Function,Domestic,447666.9048,241468.9524,68,14.62963741,98.63927793,volume,2,"SKUD3,SKUC2"
1,8,Columbus,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,8,Sacramento,Canvas & Co.,Domestic,13563.42857,340.2247299,1,30.14095238,9.450686943,weight,2,"SKUA1,SKUA2"
1,8,Sacramento,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,8,Sacramento,Form & Function,Domestic,59105.71429,4925.47619,2,65.67301587,68.40939153,volume,1,SKUD1
1,8,Sacramento,VoltEdge,International,999924.7619,118386.2853,33,67.3350008,99.65175528,volume,2,"SKUE1,SKUE2"
1,8,Austin,The Write Stuff,International,65827.38095,1219.025573,2,73.14153439,16.93091074,weight,2,"SKUW2,SKUW3"
