International_DoH,0,1,2,3,4,5,7,9,11,14
0,0.0,0.0,482.9550707868681,1946.1107239289188,3877.29924471718,5822.4587189405775,9774.034387817484,13909.625799237736,18243.99357086103,24786.060243656957
3,0.0,0.0,483.03477187561657,1961.393592516644,3902.293593945548,5847.453068168947,9803.889841429258,13966.052824019174,18311.594901198023,24853.661573993944
6,0.0,0.0,493.0703716206667,1982.1284689505185,3927.2879431739166,5873.851050138901,9834.830518142371,14022.479848800613,18379.196231535017,24921.26290433094
8,0.0,0.0,503.1871320226255,1998.7913684360967,3943.9508426594953,5891.835263643123,9855.589121777972,14062.886003229063,18424.26378509301,24966.33045788893
10,0.0,0.0,513.3038924245841,2015.4542679216763,3960.613742145075,5909.8194771473445,9876.638898558458,14107.95355678706,18469.331338651005,25011.39801144693
12,0.0,0.0,523.4206528265428,2032.1171674072552,3977.276641630653,5929.078986815975,9898.639481288565,14153.021110345057,18514.398892209,25056.465565004924
15,0.0,0.0,538.5957934294808,2057.111516635624,4002.435338043909,5958.934440427751,9936.85105025809,14220.62244068205,18582.000222546,25124.066895341915
17,0.0,0.0,548.7125538314394,2073.774416121202,4020.198923488541,5978.838076168935,9967.877429587035,14265.689994240043,18627.06777610399,25169.134448899917
19,0.0,0.0,558.829314233398,2090.437315606782,4038.183136992762,5998.741711910119,10003.782620872364,14310.75754779804,18672.135329661985,25214.20200245791
21,0.0,0.0,568.9460746353567,2107.10021509236,4056.167350496984,6018.645347651303,10041.400637393324,14355.825101356031,18717.202883219983,25259.269556015905
