International_DoH,0,1,2,3,4,5,7,9,11,14
0,0.0,0.0,482.9550707868681,1638.0684054169074,2813.4167204190244,3988.765035421141,6400.718385855483,8892.481086706432,11496.937767293295,15444.13780353458
3,0.0,0.0,483.03477187561657,1653.243546019845,2828.591861021963,4003.940176024079,6420.754630841829,8921.867579353071,11537.498565495493,15484.698601736773
6,0.0,0.0,493.0703716206667,1668.4186866227833,2843.7670016249003,4020.518949368604,6440.790875828174,8951.254071999712,11578.059363697688,15525.25939993897
8,0.0,0.0,503.1871320226255,1678.535447024742,2853.883762026859,4031.957023789205,6454.148372485739,8973.633205004966,11605.099895832484,15552.299932073764
10,0.0,0.0,513.3038924245841,1688.652207426701,2864.000522428818,4043.395098209806,6467.505869143302,9000.673737139763,11632.140427967282,15579.340464208564
12,0.0,0.0,523.4206528265428,1698.7689678286597,2874.1172828307763,4056.108468794817,6480.863365800866,9027.714269274562,11659.18096010208,15606.38099634336
15,0.0,0.0,538.5957934294808,1713.9441084315977,2889.456770618601,4076.144713781162,6506.110305661582,9068.275067476758,11699.741758304275,15646.941794545555
17,0.0,0.0,548.7125538314394,1724.060868833556,2900.6742169796125,4089.5022104387263,6525.701300759342,9095.315599611557,11726.782290439074,15673.982326680354
19,0.0,0.0,558.829314233398,1734.1776292355148,2912.112291400214,4102.85970709629,6545.292295857103,9122.356131746352,11753.822822573871,15701.022858815151
21,0.0,0.0,568.9460746353567,1744.2943896374732,2923.5503658208154,4116.217203753854,6564.883290954863,9149.396663881147,11780.863354708668,15728.063390949948
