International_DoH,0,1,2,3,4,5,7,9,11,14
0,0.0,0.0,0.0,308.04231851201143,1063.8825242981552,1833.6936835194365,3373.316001962,5017.144712531304,6747.055803567733,9341.922440122373
3,0.0,0.0,0.0,308.1500464967986,1073.7017329235855,1843.5128921448672,3383.13521058743,5044.185244666103,6774.096335702529,9368.962972257172
6,0.0,0.0,0.0,313.70978232773484,1083.5209415490162,1853.3321007702973,3394.0396423141974,5071.225776800899,6801.136867837327,9396.003504391969
8,0.0,0.0,0.0,320.2559214113551,1090.067080632636,1859.8782398539176,3401.4407492922337,5089.252798224098,6819.163889260524,9414.030525815166
10,0.0,0.0,0.0,326.8020604949754,1096.613219716257,1866.4243789375384,3409.1330294151558,5107.279819647296,6837.190910683724,9432.057547238364
12,0.0,0.0,0.0,333.34819957859565,1103.1593587998768,1872.9705180211583,3417.7761154876966,5125.306841070494,6855.217932106922,9450.084568661565
15,0.0,0.0,0.0,343.1674082040262,1112.9785674253076,1882.7897266465889,3430.7407445965086,5152.347373205292,6882.25846424172,9477.12510079636
17,0.0,0.0,0.0,349.7135472876464,1119.524706508928,1889.3358657302088,3442.176128827694,5170.37439462849,6900.285485664917,9495.15212221956
19,0.0,0.0,0.0,356.25968637126687,1126.0708455925485,1895.8820048138296,3458.490325015261,5188.401416051688,6918.312507088116,9513.179143642756
21,0.0,0.0,0.0,362.805825454887,1132.6169846761682,1902.42814389745,3476.51734643846,5206.428437474887,6936.339528511314,9531.206165065954
