simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.15,2.5,8.836177518462122,23061,,,
2,0.15,2.5,8.82897417428766,22940,,,
3,0.15,2.5,8.612613125404971,22577,,,
4,0.15,2.5,8.708483316015675,22689,,,
5,0.15,2.5,8.871862097492158,23087,,,
6,0.15,2.5,8.983287415049753,23276,,,
7,0.15,2.5,8.69022918941336,22560,,,
8,0.15,2.5,8.910000399868595,22992,,,
9,0.15,2.5,8.807824201921331,23057,,,
10,0.15,2.5,8.674101421534562,22448,,,
11,0.15,2.5,8.855042883721218,22919,,,
12,0.15,2.5,8.907069795074896,22958,,,
13,0.15,2.5,8.794803121426419,22947,,,
14,0.15,2.5,8.720556630146497,22715,,,
15,0.15,2.5,8.85668083985698,22740,,,
16,0.15,2.5,8.819412442120013,22812,,,
17,0.15,2.5,8.877433492236154,23018,,,
18,0.15,2.5,8.887613275533393,22966,,,
19,0.15,2.5,8.929614948238232,23133,,,
20,0.15,2.5,8.738271161032674,22773,,,
21,0.15,2.5,8.937710302350984,23183,,,
22,0.15,2.5,8.868834922812596,22761,,,
23,0.15,2.5,8.880562697488838,22952,,,
24,0.15,2.5,8.92928397537934,23028,,,
25,0.15,2.5,8.725472614336747,22670,,,
26,0.15,2.5,8.924436762853967,23030,,,
27,0.15,2.5,8.98777593722254,23162,,,
28,0.15,2.5,8.854071315109225,22949,,,
29,0.15,2.5,8.743777402798205,22968,,,
30,0.15,2.5,8.994357475494482,23095,,,
31,0.15,2.5,8.736242434348743,22878,,,
32,0.15,2.5,8.763741992423128,22853,,,
33,0.15,2.5,8.702643802995972,22710,,,
34,0.15,2.5,8.83266722752065,22954,,,
35,0.15,2.5,8.825976161025684,22886,,,
36,0.15,2.5,8.76219043185265,22686,,,
37,0.15,2.5,8.890953966141314,23059,,,
38,0.15,2.5,8.876931362388298,23052,,,
39,0.15,2.5,8.70000964011038,22756,,,
40,0.15,2.5,8.897424118006777,22941,,,
41,0.15,2.5,8.75651404924046,22866,,,
42,0.15,2.5,8.868483054172074,22781,,,
43,0.15,2.5,8.903840898907486,22975,,,
44,0.15,2.5,8.732480333785183,22843,,,
45,0.15,2.5,8.757330933431788,22771,,,
46,0.15,2.5,8.8966204614218,22869,,,
47,0.15,2.5,8.916104864692446,23209,,,
48,0.15,2.5,8.926892353237882,23075,,,
49,0.15,2.5,8.883640508709881,22927,,,
50,0.15,2.5,8.775902376336123,22824,,,
