SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,215,2212.1709241614335,31.43475770134528
SKUA1,Columbus,171,1629.7996800029189,22.581664000024325
SKUA1,Sacramento,276,2867.793821628456,38.8982818469038
SKUA2,Austin,258,2389.003774765113,32.908364789709275
SKUA2,Columbus,165,1676.1729582253927,22.968107985211606
SKUA2,Sacramento,258,2626.4373509997613,36.886977924998014
SKUA3,Austin,247,2481.631208710798,33.68026007258998
SKUA3,Columbus,161,1799.5487616786406,23.99623968065534
SKUA3,Sacramento,275,2867.4717167095323,38.895597639246105
SKUC1,Austin,251,2353.0162537781625,34.60846878148469
SKUC1,Columbus,166,1735.0846564382407,24.459038803652003
SKUC1,Sacramento,340,3313.4307763135375,46.61192313594615
SKUC2,Austin,238,2499.7451961165825,35.83120996763819
SKUC2,Columbus,192,1970.822903809344,26.4235241984112
SKUC2,Sacramento,355,3839.0164616449956,50.99180384704163
SKUD1,Austin,246,2426.5193298087784,32.22099441507315
SKUD1,Columbus,210,1914.1963689876518,26.951636408230435
SKUD1,Sacramento,231,2474.6064663762645,34.62172055313554
SKUD2,Austin,210,1938.4072580097645,28.15339381674804
SKUD2,Columbus,190,1937.912119831732,27.149267665264436
SKUD2,Sacramento,252,2520.298123790053,35.00248436491711
SKUD3,Austin,217,2123.587646379999,29.696563719833325
SKUD3,Columbus,200,1743.5619870152236,25.529683225126863
SKUD3,Sacramento,254,2430.0928022424155,34.25077335202013
SKUE1,Austin,863,8664.211362902353,121.20176135751962
SKUE1,Columbus,911,9181.43283485722,127.51194029047683
SKUE1,Sacramento,788,7597.774229255673,108.31478524379727
SKUE2,Austin,901,8838.176159035138,122.65146799195948
SKUE2,Columbus,1013,10249.613798757071,136.4134483229756
SKUE2,Sacramento,791,7642.402890558047,108.6866907546504
SKUE3,Austin,910,9496.539208886941,128.1378267407245
SKUE3,Columbus,906,9096.643188556993,126.8053599046416
SKUE3,Sacramento,842,8287.946759133187,114.06622299277656
SKUT1,Austin,205,1730.9485811407194,25.424571509505995
SKUT1,Columbus,233,2267.2187953188527,30.89348996099044
SKUT1,Sacramento,126,1259.7198521192372,17.497665434326976
SKUT2,Austin,190,1687.6521272490418,25.063767727075348
SKUT2,Columbus,219,2121.4770369987477,29.678975308322897
SKUT2,Sacramento,112,1180.1488547938561,16.834573789948802
SKUT3,Austin,195,1837.9662537211736,26.316385447676446
SKUT3,Columbus,191,2011.6043032208838,28.763369193507366
SKUT3,Sacramento,134,1304.8283774676916,17.873569812230762
SKUT4,Austin,207,1944.2394595408484,27.20199549617374
SKUT4,Columbus,206,1998.6822478873275,28.655685399061063
SKUT4,Sacramento,119,1131.8316314965252,16.431930262471045
SKUW1,Austin,827,8514.879778812687,116.95733149010572
SKUW1,Columbus,894,8903.86945638799,122.19891213656659
SKUW1,Sacramento,780,8001.743459815557,108.68119549846298
SKUW2,Austin,797,8202.85220317892,114.35710169315766
SKUW2,Columbus,855,8769.818134231014,121.08181778525845
SKUW2,Sacramento,777,7880.4197828652905,107.67016485721075
SKUW3,Austin,860,8322.06154678123,115.35051288984359
SKUW3,Columbus,906,8781.19246079092,121.17660383992434
SKUW3,Sacramento,752,7390.700410937499,103.58917009114583
