simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.15,10.0,34.90746459964608,22647,,,
2,0.15,10.0,35.224255989426275,22744,,,
3,0.15,10.0,35.130098320519615,22796,,,
4,0.15,10.0,35.53145311404631,23041,,,
5,0.15,10.0,35.63694263390909,23238,,,
6,0.15,10.0,35.57928785619921,23055,,,
7,0.15,10.0,35.17898785804986,23031,,,
8,0.15,10.0,35.44749190374923,22761,,,
9,0.15,10.0,35.25414925537878,22797,,,
10,0.15,10.0,35.470067092581864,22983,,,
11,0.15,10.0,34.9765351635245,22929,,,
12,0.15,10.0,35.13899298179546,22832,,,
13,0.15,10.0,35.89901366165853,23123,,,
14,0.15,10.0,35.13560344209757,23009,,,
15,0.15,10.0,35.50446353921657,23088,,,
16,0.15,10.0,35.27416641149071,22874,,,
17,0.15,10.0,35.22876669660709,22764,,,
18,0.15,10.0,35.520889493868886,23091,,,
19,0.15,10.0,35.49777746088526,23091,,,
20,0.15,10.0,35.461257223778695,22817,,,
21,0.15,10.0,34.94835293338707,22727,,,
22,0.15,10.0,35.5535887731553,22888,,,
23,0.15,10.0,35.413915491859925,23060,,,
24,0.15,10.0,35.58025439165226,23036,,,
25,0.15,10.0,35.79561887997219,22988,,,
26,0.15,10.0,35.34794557190378,23034,,,
27,0.15,10.0,35.53866156594701,22897,,,
28,0.15,10.0,35.06850203785963,22757,,,
29,0.15,10.0,35.19723239789315,22800,,,
30,0.15,10.0,35.31246924688578,22893,,,
31,0.15,10.0,35.408611656571274,23087,,,
32,0.15,10.0,35.74711780690074,22981,,,
33,0.15,10.0,35.8721161942093,23031,,,
34,0.15,10.0,35.33143468387857,22811,,,
35,0.15,10.0,35.10596346347831,22825,,,
36,0.15,10.0,35.700719478608896,23079,,,
37,0.15,10.0,34.77541020461511,22864,,,
38,0.15,10.0,35.759824803372226,23000,,,
39,0.15,10.0,35.91227712161103,23172,,,
40,0.15,10.0,35.50596865825513,22942,,,
41,0.15,10.0,35.388237821289195,23090,,,
42,0.15,10.0,35.029803456516134,22883,,,
43,0.15,10.0,35.04043387334428,22875,,,
44,0.15,10.0,35.25966993403933,22730,,,
45,0.15,10.0,35.65872263702818,23194,,,
46,0.15,10.0,35.106732445774504,22748,,,
47,0.15,10.0,35.202697961519426,22775,,,
48,0.15,10.0,35.27930701332499,22886,,,
49,0.15,10.0,35.29262049351636,22729,,,
50,0.15,10.0,35.34137522576326,22958,,,
