simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.1,2.0,4.785733880576842,15296,,,
2,0.1,2.0,4.647892529255154,15197,,,
3,0.1,2.0,4.651217764768112,15166,,,
4,0.1,2.0,4.784541246364904,15279,,,
5,0.1,2.0,4.628893443191206,14976,,,
6,0.1,2.0,4.639926513715568,15078,,,
7,0.1,2.0,4.689653719427723,15203,,,
8,0.1,2.0,4.791966521626687,15396,,,
9,0.1,2.0,4.7213505678041825,15346,,,
10,0.1,2.0,4.771166989220291,15390,,,
11,0.1,2.0,4.707684608557091,15343,,,
12,0.1,2.0,4.6564217614491135,15220,,,
13,0.1,2.0,4.818759089964561,15420,,,
14,0.1,2.0,4.734342926774736,15365,,,
15,0.1,2.0,4.697588773416347,15017,,,
16,0.1,2.0,4.709632909264745,15457,,,
17,0.1,2.0,4.687475890472174,15252,,,
18,0.1,2.0,4.733247016379685,15267,,,
19,0.1,2.0,4.670316766745195,15178,,,
20,0.1,2.0,4.702334721918409,15239,,,
21,0.1,2.0,4.695351494563933,15533,,,
22,0.1,2.0,4.749149688468723,15552,,,
23,0.1,2.0,4.731531419405605,15397,,,
24,0.1,2.0,4.78722960917235,15397,,,
25,0.1,2.0,4.755535223679648,15119,,,
26,0.1,2.0,4.675460760431442,15134,,,
27,0.1,2.0,4.7639555888481135,15362,,,
28,0.1,2.0,4.758348105974956,15310,,,
29,0.1,2.0,4.7321613403289176,15403,,,
30,0.1,2.0,4.668639984065004,15103,,,
31,0.1,2.0,4.745239914771883,15303,,,
32,0.1,2.0,4.6468836909333655,15159,,,
33,0.1,2.0,4.666340992470718,15087,,,
34,0.1,2.0,4.74928189019039,15455,,,
35,0.1,2.0,4.666843315547592,15195,,,
36,0.1,2.0,4.671611049165893,15120,,,
37,0.1,2.0,4.699381135171596,15301,,,
38,0.1,2.0,4.608662397071966,15122,,,
39,0.1,2.0,4.797134359989053,15288,,,
40,0.1,2.0,4.697339258183269,15235,,,
41,0.1,2.0,4.688394995867471,15118,,,
42,0.1,2.0,4.738574432053195,15188,,,
43,0.1,2.0,4.737062164737339,15392,,,
44,0.1,2.0,4.73115850759991,15238,,,
45,0.1,2.0,4.646495942518088,15151,,,
46,0.1,2.0,4.706538323501603,15348,,,
47,0.1,2.0,4.760233043417608,15277,,,
48,0.1,2.0,4.657981358552951,15228,,,
49,0.1,2.0,4.668752938870356,15213,,,
50,0.1,2.0,4.796542893495214,15412,,,
