SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,245,2244.1640987458118,31.70136748954843
SKUA1,Columbus,168,1586.9838696385573,22.22486558032131
SKUA1,Sacramento,267,2526.853702836963,36.05711419030802
SKUA2,Austin,249,2553.619395961623,34.28016163301353
SKUA2,Columbus,140,1335.5063247080475,20.12921937256706
SKUA2,Sacramento,294,3095.5645421684017,40.796371184736685
SKUA3,Austin,245,2407.1139962961433,33.05928330246786
SKUA3,Columbus,167,1576.9418889666229,22.14118240805519
SKUA3,Sacramento,291,2451.0399457812423,35.42533288151036
SKUC1,Austin,236,2218.4631135771633,33.48719261314303
SKUC1,Columbus,200,1742.2244403234797,24.518537002695663
SKUC1,Sacramento,355,3368.0420823491477,47.067017352909566
SKUC2,Austin,266,2782.9012442385556,38.190843701987966
SKUC2,Columbus,187,1769.3133270782075,24.744277725651727
SKUC2,Sacramento,322,3101.613101381973,44.84677584484977
SKUD1,Austin,220,2213.1695973681635,30.44307997806803
SKUD1,Columbus,209,2482.2932220119797,31.68577685009983
SKUD1,Sacramento,247,2592.4683895177045,35.60390324598087
SKUD2,Austin,191,1977.6328370832257,28.480273642360213
SKUD2,Columbus,207,2115.997216511693,28.63331013759744
SKUD2,Sacramento,238,2418.7102674734233,34.15591889561186
SKUD3,Austin,215,2235.127053808334,30.626058781736116
SKUD3,Columbus,218,2244.4888867574186,29.70407405631182
SKUD3,Sacramento,241,2221.73326845339,32.51444390377825
SKUE1,Austin,872,8475.886893299285,119.63239077749404
SKUE1,Columbus,917,9078.323270572193,126.65269392143495
SKUE1,Sacramento,821,8119.05112839254,112.65875940327116
SKUE2,Austin,870,8680.220130645946,121.3351677553829
SKUE2,Columbus,954,9263.111516518307,128.1925959709859
SKUE2,Sacramento,802,8127.392496378232,112.72827080315193
SKUE3,Austin,874,8542.160216934764,120.18466847445637
SKUE3,Columbus,937,9228.045539075203,127.90037949229335
SKUE3,Sacramento,858,8851.470129409498,118.76225107841248
SKUT1,Austin,210,2172.847487364931,29.10706239470776
SKUT1,Columbus,217,2064.7170337896373,29.20597528158031
SKUT1,Sacramento,119,1101.7670716303626,16.181392263586353
SKUT2,Austin,202,2075.461205852128,28.29551004876773
SKUT2,Columbus,200,1938.8581549016665,28.157151290847217
SKUT2,Sacramento,113,961.8228596771238,15.015190497309364
SKUT3,Austin,185,2052.508726603167,28.104239388359723
SKUT3,Columbus,207,2340.1852477094867,31.50154373091239
SKUT3,Sacramento,128,1195.2815291895738,16.960679409913116
SKUT4,Austin,196,2121.314770365469,28.677623086378908
SKUT4,Columbus,213,2363.7760399508775,31.698133666257313
SKUT4,Sacramento,130,1233.2794289464466,17.277328574553724
SKUW1,Austin,834,8625.350033006871,117.87791694172392
SKUW1,Columbus,838,8087.53500446474,115.39612503720618
SKUW1,Sacramento,694,6554.122285933444,96.61768571611204
SKUW2,Austin,852,8527.110366024255,117.05925305020213
SKUW2,Columbus,859,8626.043424785692,119.88369520654743
SKUW2,Sacramento,777,7539.365807862193,104.8280483988516
SKUW3,Austin,872,8735.281133551767,118.79400944626472
SKUW3,Columbus,916,9256.53645857772,125.137803821481
SKUW3,Sacramento,749,7853.896101485657,107.44913417904714
