simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.05,1.5,1.7450256156809631,7623,,,
2,0.05,1.5,1.7438523452347312,7665,,,
3,0.05,1.5,1.7550200099493156,7678,,,
4,0.05,1.5,1.7255631256034207,7541,,,
5,0.05,1.5,1.7584858608142753,7728,,,
6,0.05,1.5,1.7753154873555028,7739,,,
7,0.05,1.5,1.8105926751124148,7812,,,
8,0.05,1.5,1.8086183457423795,7599,,,
9,0.05,1.5,1.7770649104162504,7719,,,
10,0.05,1.5,1.7889570477082744,7692,,,
11,0.05,1.5,1.7694506833266102,7705,,,
12,0.05,1.5,1.7776184476086945,7577,,,
13,0.05,1.5,1.72368780813853,7584,,,
14,0.05,1.5,1.7830291038267372,7674,,,
15,0.05,1.5,1.7510744330861936,7543,,,
16,0.05,1.5,1.7009353918142909,7466,,,
17,0.05,1.5,1.7173562076898858,7492,,,
18,0.05,1.5,1.792241417559888,7706,,,
19,0.05,1.5,1.790762114843257,7673,,,
20,0.05,1.5,1.8051232446320848,7714,,,
21,0.05,1.5,1.7899443000983755,7662,,,
22,0.05,1.5,1.77535392950431,7752,,,
23,0.05,1.5,1.8029740641874892,7714,,,
24,0.05,1.5,1.7882473804450614,7748,,,
25,0.05,1.5,1.7637657414261732,7687,,,
26,0.05,1.5,1.7784428380299933,7807,,,
27,0.05,1.5,1.7680437317439395,7712,,,
28,0.05,1.5,1.7224809806457797,7612,,,
29,0.05,1.5,1.7916478696298528,7837,,,
30,0.05,1.5,1.79131766877511,7625,,,
31,0.05,1.5,1.7713400836828417,7594,,,
32,0.05,1.5,1.7714847408527907,7585,,,
33,0.05,1.5,1.751987968244786,7577,,,
34,0.05,1.5,1.8150189096375005,7776,,,
35,0.05,1.5,1.750088430901226,7562,,,
36,0.05,1.5,1.739384415814632,7589,,,
37,0.05,1.5,1.7342724062182289,7610,,,
38,0.05,1.5,1.7780319219484366,7579,,,
39,0.05,1.5,1.8238725955328055,7636,,,
40,0.05,1.5,1.7900446290422016,7677,,,
41,0.05,1.5,1.7333117809995324,7691,,,
42,0.05,1.5,1.760350893295404,7655,,,
43,0.05,1.5,1.7166358140736004,7532,,,
44,0.05,1.5,1.7522627604203342,7452,,,
45,0.05,1.5,1.8369965749802164,7749,,,
46,0.05,1.5,1.685045454723531,7488,,,
47,0.05,1.5,1.758430844961198,7669,,,
48,0.05,1.5,1.7884696990991802,7792,,,
49,0.05,1.5,1.7366034537002726,7451,,,
50,0.05,1.5,1.792501516319533,7835,,,
