simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.05,2.0,2.3432991320632195,7658,,,
2,0.05,2.0,2.289476433734393,7551,,,
3,0.05,2.0,2.2965484738960504,7510,,,
4,0.05,2.0,2.317283758998533,7535,,,
5,0.05,2.0,2.4201218654484444,7758,,,
6,0.05,2.0,2.377734833803379,7694,,,
7,0.05,2.0,2.3212132414867637,7595,,,
8,0.05,2.0,2.3930937253933253,7673,,,
9,0.05,2.0,2.4485680473656797,7850,,,
10,0.05,2.0,2.3594986365564328,7727,,,
11,0.05,2.0,2.2877805129108713,7460,,,
12,0.05,2.0,2.375143347684227,7603,,,
13,0.05,2.0,2.3523163973122947,7568,,,
14,0.05,2.0,2.319607024518683,7487,,,
15,0.05,2.0,2.3219766570827254,7577,,,
16,0.05,2.0,2.323972824446171,7549,,,
17,0.05,2.0,2.3703690257430967,7628,,,
18,0.05,2.0,2.3071749856318653,7528,,,
19,0.05,2.0,2.31013283270509,7572,,,
20,0.05,2.0,2.3835698842715565,7677,,,
21,0.05,2.0,2.381259288840879,7652,,,
22,0.05,2.0,2.3612151553663496,7546,,,
23,0.05,2.0,2.3548859694385924,7648,,,
24,0.05,2.0,2.337334266821216,7725,,,
25,0.05,2.0,2.3597107227694303,7612,,,
26,0.05,2.0,2.365589391302846,7767,,,
27,0.05,2.0,2.333428867125873,7532,,,
28,0.05,2.0,2.313699100483387,7578,,,
29,0.05,2.0,2.305783701739645,7558,,,
30,0.05,2.0,2.3245284799068275,7619,,,
31,0.05,2.0,2.356659357781971,7638,,,
32,0.05,2.0,2.417803059148312,7817,,,
33,0.05,2.0,2.4041512233397526,7750,,,
34,0.05,2.0,2.3897522501538617,7667,,,
35,0.05,2.0,2.376973551116474,7681,,,
36,0.05,2.0,2.3932458066591824,7768,,,
37,0.05,2.0,2.267849467275049,7390,,,
38,0.05,2.0,2.351490639935547,7633,,,
39,0.05,2.0,2.325267852573577,7520,,,
40,0.05,2.0,2.3940992463454744,7735,,,
41,0.05,2.0,2.3647114022931586,7672,,,
42,0.05,2.0,2.3259715304621507,7649,,,
43,0.05,2.0,2.3656903771520255,7650,,,
44,0.05,2.0,2.3870979470483045,7611,,,
45,0.05,2.0,2.344914451380083,7617,,,
46,0.05,2.0,2.4054254048772012,7605,,,
47,0.05,2.0,2.3049609870895167,7539,,,
48,0.05,2.0,2.2975785017402424,7525,,,
49,0.05,2.0,2.429757375095236,7731,,,
50,0.05,2.0,2.434183694171147,7795,,,
