SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,232,2234.919315747078,31.624327631225654
SKUA1,Columbus,160,1728.554383424925,23.404619861874373
SKUA1,Sacramento,269,2643.227749409225,37.02689791174354
SKUA2,Austin,252,2417.27116013376,33.143926334448004
SKUA2,Columbus,169,1466.3198152302239,21.219331793585198
SKUA2,Sacramento,267,2680.5646787658306,37.33803898971526
SKUA3,Austin,236,2348.933559717929,32.57444633098274
SKUA3,Columbus,157,1613.390114827739,22.444917623564493
SKUA3,Sacramento,285,2932.0154205394497,39.433461837828744
SKUC1,Austin,266,2725.9385563096675,37.716154635913895
SKUC1,Columbus,201,2212.7614339689308,28.439678616407758
SKUC1,Sacramento,339,3593.315837148442,48.94429864290368
SKUC2,Austin,289,3187.9463430182,41.56621952515166
SKUC2,Columbus,187,1929.7119312364623,26.08093276030385
SKUC2,Sacramento,298,2788.136283651885,42.23446903043238
SKUD1,Austin,204,2320.877406085713,31.340645050714276
SKUD1,Columbus,219,2172.0130233432224,29.100108527860186
SKUD1,Sacramento,259,2637.820337499335,35.981836145827785
SKUD2,Austin,223,2099.119295352479,29.492660794603992
SKUD2,Columbus,226,2147.109409919638,28.892578415996983
SKUD2,Sacramento,257,2638.1392690922457,35.98449390910205
SKUD3,Austin,221,2219.8522299581073,30.498768582984226
SKUD3,Columbus,177,1944.8157794366518,27.2067981619721
SKUD3,Sacramento,248,2352.482012926528,33.60401677438774
SKUE1,Austin,948,9175.129188298839,125.45940990249032
SKUE1,Columbus,945,9174.737473083063,127.45614560902553
SKUE1,Sacramento,845,8446.645958688383,115.38871632240321
SKUE2,Austin,868,8700.223649828762,121.50186374857302
SKUE2,Columbus,899,9037.020021141616,126.30850017618013
SKUE2,Sacramento,750,7611.947493823848,108.4328957818654
SKUE3,Austin,838,8318.569241007324,118.3214103417277
SKUE3,Columbus,880,8867.246617149667,124.89372180958055
SKUE3,Sacramento,839,8433.931719830665,115.28276433192221
SKUT1,Austin,185,1753.141771315132,25.60951476095943
SKUT1,Columbus,227,2043.0428398280528,29.02535699856711
SKUT1,Sacramento,130,1203.157874967212,17.026315624726767
SKUT2,Austin,214,1957.0952586978685,27.30912715581557
SKUT2,Columbus,228,2242.3298637245866,30.686082197704888
SKUT2,Sacramento,132,1217.5118739777604,17.145932283148003
SKUT3,Austin,207,2264.4819701567617,29.87068308463968
SKUT3,Columbus,222,2248.8965046202015,30.74080420516835
SKUT3,Sacramento,128,1316.1289702999509,17.967741419166256
SKUT4,Austin,199,1984.3792294265206,27.53649357855434
SKUT4,Columbus,250,2493.5815621719044,32.77984635143253
SKUT4,Sacramento,141,1463.2908253152843,19.194090210960702
SKUW1,Austin,839,8804.796377729996,119.37330314774997
SKUW1,Columbus,932,9475.565651243858,126.96304709369882
SKUW1,Sacramento,711,7449.091659419349,104.07576382849457
SKUW2,Austin,801,7711.063914797575,110.25886595664647
SKUW2,Columbus,830,7913.476265550941,113.94563554625783
SKUW2,Sacramento,781,7809.876827415346,107.08230689512789
SKUW3,Austin,836,8273.165778530609,114.94304815442175
SKUW3,Columbus,851,8669.249911550924,120.24374926292437
SKUW3,Sacramento,758,7459.773667835197,104.16478056529331
