SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,235,2344.656305993804,32.538802549948365
SKUA1,Columbus,147,1596.4067454427527,22.30338954535627
SKUA1,Sacramento,259,2579.898034158117,36.49915028465097
SKUA2,Austin,215,2167.2243256913225,31.060202714094356
SKUA2,Columbus,162,1441.7765981067043,21.01480498422254
SKUA2,Sacramento,276,2979.405098035803,39.82837581696502
SKUA3,Austin,216,2450.3013501672476,33.4191779180604
SKUA3,Columbus,169,1659.0825043394414,22.825687536162015
SKUA3,Sacramento,254,2488.8633122931233,35.7405276024427
SKUC1,Austin,243,2647.9846011452632,37.06653834287719
SKUC1,Columbus,184,1864.8922193000947,25.54076849416746
SKUC1,Sacramento,320,3088.8245866424436,44.74020488868703
SKUC2,Austin,269,2752.2210845213967,37.93517570434497
SKUC2,Columbus,203,2036.3898541980443,26.96991545165037
SKUC2,Sacramento,307,2847.274128590499,42.72728440492083
SKUD1,Austin,251,2383.176780672538,31.85980650560448
SKUD1,Columbus,200,2110.8115669057397,28.590096390881165
SKUD1,Sacramento,230,2318.7029398626087,33.322524498855074
SKUD2,Austin,221,2226.0045753105564,30.55003812758797
SKUD2,Columbus,190,1659.4611022876159,24.828842519063464
SKUD2,Sacramento,264,2618.346113889395,35.8195509490783
SKUD3,Austin,231,2560.459775482777,33.33716479568981
SKUD3,Columbus,202,2198.948414098722,29.32457011748935
SKUD3,Sacramento,231,2487.685092674278,34.730709105618985
SKUE1,Austin,847,8578.913128015272,120.4909427334606
SKUE1,Columbus,902,9306.574428382371,128.55478690318643
SKUE1,Sacramento,773,8289.423211152118,114.07852675960098
SKUE2,Austin,873,8593.079960315119,120.60899966929266
SKUE2,Columbus,909,8781.690886365546,124.18075738637955
SKUE2,Sacramento,801,8096.785939101559,112.47321615917966
SKUE3,Austin,833,8306.76457571008,118.22303813091733
SKUE3,Columbus,913,8939.060001185837,125.49216667654863
SKUE3,Sacramento,874,9147.72539428848,121.231044952404
SKUT1,Austin,195,1716.9655320611257,25.308046100509383
SKUT1,Columbus,233,2553.332556216588,33.2777713018049
SKUT1,Sacramento,122,1023.4830215250771,15.529025179375644
SKUT2,Austin,183,1976.0922967186157,27.467435805988465
SKUT2,Columbus,227,2401.9928141134624,32.016606784278856
SKUT2,Sacramento,131,1450.4458308856574,19.087048590713813
SKUT3,Austin,191,1760.7410565967232,25.672842138306024
SKUT3,Columbus,232,1983.0988248684603,28.525823540570503
SKUT3,Sacramento,117,1104.430767972051,16.203589733100426
SKUT4,Austin,226,2160.5938554249615,29.004948795208012
SKUT4,Columbus,223,2088.618894516099,29.405157454300824
SKUT4,Sacramento,113,1093.0135684653155,16.10844640387763
SKUW1,Austin,827,8114.570001391556,113.62141667826296
SKUW1,Columbus,923,9536.151217772294,127.46792681476911
SKUW1,Sacramento,791,7918.289659351651,107.98574716126376
SKUW2,Austin,801,8155.294115772455,113.9607842981038
SKUW2,Columbus,828,8294.233379522087,117.1186114960174
SKUW2,Sacramento,814,7618.016000211339,105.48346666842782
SKUW3,Austin,823,8377.412762495445,115.81177302079537
SKUW3,Columbus,829,8141.126183764394,115.84271819803662
SKUW3,Sacramento,742,7096.765816673879,101.139715138949
