SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,236,2142.447388671783,30.853728238931524
SKUA1,Columbus,142,1449.978601240876,21.083155010340633
SKUA1,Sacramento,319,3355.3996158347786,42.96166346528982
SKUA2,Austin,212,1944.2200020725427,29.201833350604524
SKUA2,Columbus,164,1753.2773675184872,23.610644729320725
SKUA2,Sacramento,266,2646.135865065239,37.05113220887699
SKUA3,Austin,234,2393.5842192643136,32.946535160535944
SKUA3,Columbus,182,1874.9201054262614,24.624334211885515
SKUA3,Sacramento,255,2495.137143407018,35.792809528391814
SKUC1,Austin,267,2551.8243762118195,36.265203135098496
SKUC1,Columbus,166,1553.2012565495763,22.943343804579804
SKUC1,Sacramento,343,3282.9884774550073,46.35823731212506
SKUC2,Austin,282,3022.642342723285,40.18868618936071
SKUC2,Columbus,172,1623.8482652786975,23.53206887732248
SKUC2,Sacramento,339,3703.734311913144,49.8644525992762
SKUD1,Austin,202,2106.2097401291358,29.551747834409465
SKUD1,Columbus,187,1893.9908731501384,26.783257276251152
SKUD1,Sacramento,239,2288.352767974435,33.06960639978696
SKUD2,Austin,220,2391.7798449784273,31.931498708153562
SKUD2,Columbus,172,1673.3109332543265,24.94425777711939
SKUD2,Sacramento,260,2670.184472060163,36.251537267168025
SKUD3,Austin,228,2276.106246111365,30.96755205092804
SKUD3,Columbus,218,2468.818349822744,31.573486248522865
SKUD3,Sacramento,239,2611.047608724815,35.7587300727068
SKUE1,Austin,878,8335.910268859665,118.46591890716387
SKUE1,Columbus,893,9139.93943374487,127.16616194787392
SKUE1,Sacramento,802,7886.963782602578,110.72469818835482
SKUE2,Austin,853,8405.44119983138,119.04534333192815
SKUE2,Columbus,903,9148.527864411888,127.2377322034324
SKUE2,Sacramento,881,9252.276954476898,122.10230795397415
SKUE3,Austin,877,9372.840082022747,127.1070006835229
SKUE3,Columbus,911,9358.732332030151,128.98943610025125
SKUE3,Sacramento,822,8270.84490065275,113.92370750543958
SKUT1,Austin,164,1715.009591622253,25.29174659685211
SKUT1,Columbus,214,2524.8260863174796,33.040217385979
SKUT1,Sacramento,121,1284.9745956599897,17.708121630499914
SKUT2,Austin,195,2046.2503643080813,28.05208636923401
SKUT2,Columbus,213,2045.2542577845593,29.043785481537995
SKUT2,Sacramento,106,1044.4835765437729,15.70402980453144
SKUT3,Austin,172,1639.2980812898043,24.6608173440817
SKUT3,Columbus,227,2469.9786495259104,32.58315541271592
SKUT3,Sacramento,120,1140.4177456121442,16.503481213434537
SKUT4,Austin,197,1772.642807476245,25.772023395635372
SKUT4,Columbus,206,1999.3499470924025,28.661249559103354
SKUT4,Sacramento,122,1243.2136420642146,17.360113683868455
SKUW1,Austin,893,8661.836032826322,118.18196694021935
SKUW1,Columbus,871,8436.524495458336,118.30437079548612
SKUW1,Sacramento,747,7373.423700317533,103.44519750264611
SKUW2,Austin,795,7651.569140803884,109.7630761733657
SKUW2,Columbus,866,8523.786368654924,119.03155307212437
SKUW2,Sacramento,779,8307.94363001566,111.23286358346382
SKUW3,Austin,821,8196.128442961823,114.3010703580152
SKUW3,Columbus,834,8574.312018393119,119.452600153276
SKUW3,Sacramento,734,7703.9073680952615,106.19922806746052
