sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,num_shipped_immediately,total_delay_days,days_above_baseline,pct_days_above_baseline,shipment_balance_ok,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim41,2365905,87869.86428571428,26.925101332888303,117,49,560.7331600700887,0,0.0,True,41,0.3,5.0,Moderate Disruption
TotalInventory_Sim42,2106228,83310.84682539683,25.281557927435788,116,53,619.1001868862376,0,0.0,True,42,0.3,5.0,Moderate Disruption
TotalInventory_Sim43,2106228,92257.6746031746,22.829840542366373,116,49,568.0339017005296,0,0.0,True,43,0.3,5.0,Moderate Disruption
TotalInventory_Sim44,2365905,79023.55595238095,29.939237376582724,117,50,563.9503317073322,0,0.0,True,44,0.3,5.0,Moderate Disruption
TotalInventory_Sim45,2365905,91108.14285714286,25.968095998946307,120,51,541.7680255489389,0,0.0,True,45,0.3,5.0,Moderate Disruption
TotalInventory_Sim46,2106228,96897.72857142857,21.736608598078593,119,42,488.97708618880677,0,0.0,True,46,0.3,5.0,Moderate Disruption
TotalInventory_Sim47,2365905,76815.92936507937,30.799666417569163,118,56,613.5971856850847,0,0.0,True,47,0.3,5.0,Moderate Disruption
TotalInventory_Sim48,2365905,87485.1234126984,27.043512173369017,117,48,561.4277553490153,0,0.0,True,48,0.3,5.0,Moderate Disruption
TotalInventory_Sim49,2365905,76514.55436507937,30.92097993162697,119,56,568.5289815848995,0,0.0,True,49,0.3,5.0,Moderate Disruption
TotalInventory_Sim50,2106228,88399.61309523809,23.82621287867897,114,46,510.7025922195859,0,0.0,True,50,0.3,5.0,Moderate Disruption
TotalInventory_Sim1,1477322,19888.566666666666,74.27996319493445,119,99,1816.1260399623582,0,0.0,True,1,0.5,14.0,High Disruption
TotalInventory_Sim2,2106228,32167.917857142857,65.47604384448259,120,96,1788.3276896368398,0,0.0,True,2,0.5,14.0,High Disruption
TotalInventory_Sim3,1739808,33920.49285714285,51.29076417984999,119,88,1645.9630992084565,0,0.0,True,3,0.5,14.0,High Disruption
TotalInventory_Sim4,1823494,39053.087698412695,46.69269723515653,120,84,1489.6944283223736,0,0.0,True,4,0.5,14.0,High Disruption
TotalInventory_Sim5,2106228,40816.57817460317,51.6022678576847,119,87,1786.0363675979097,0,0.0,True,5,0.5,14.0,High Disruption
TotalInventory_Sim6,2106228,34050.66428571429,61.85570954877532,120,90,1916.787551515356,0,0.0,True,6,0.5,14.0,High Disruption
TotalInventory_Sim7,1823494,33293.625396825395,54.77006418693812,120,87,1486.8882169304575,0,0.0,True,7,0.5,14.0,High Disruption
TotalInventory_Sim8,1707935,33753.84206349206,50.59972126394736,119,89,1647.3930409025838,0,0.0,True,8,0.5,14.0,High Disruption
TotalInventory_Sim9,1707935,46060.885714285716,37.07994263493475,118,78,1375.6939682460716,0,0.0,True,9,0.5,14.0,High Disruption
TotalInventory_Sim10,1805674,30910.718253968254,58.415789150036694,120,93,1656.7195018741122,0,0.0,True,10,0.5,14.0,High Disruption
TotalInventory_Sim11,1823494,17893.538095238095,101.90796198574479,120,103,1605.7300979560837,0,0.0,True,11,0.5,14.0,High Disruption
TotalInventory_Sim12,2106228,30344.840476190475,69.40975687951345,119,94,1549.3986524570503,0,0.0,True,12,0.5,14.0,High Disruption
